"sample_id","vdac1_expression"
"9031292027_A",161.3
"9031292027_B",295
"9031292027_C",279.9
"9031292027_D",148.6
"9031292027_E",348.1
"9031292027_F",173.5
"9031292027_K",290.9
"9031292027_L",355.3
"9031292037_A",381.7
"9031292037_B",491.1
"9031292037_D",392.5
"9031292037_E",113.4
"9031292037_F",124.1
"9031292037_G",112.6
"9031292037_I",261.4
"9031292037_J",265.5
"9031292037_K",381.6
"9031292037_L",352.2
"9031356052_B",324.4
"9031356052_C",370.4
"9031356052_D",202.6
"9031356052_E",349.5
"9031356052_I",342.1
"9031356052_J",485.6
"9031356052_K",379.1
"9031356052_L",420.5
"9031356069_B",252.4
"9031356069_C",315.9
"9031356069_D",184.4
"9031356069_E",345.7
"9031356069_F",226.9
"9031356069_H",228.4
"9031356069_I",260.5
"9031356069_J",269.7
"9031356069_K",275.6
"9031356069_L",210.4
"9031356072_A",316.3
"9031356072_B",328.7
"9031356072_C",333.1
"9031356072_D",348.4
"9031356072_E",265.2
"9031356072_F",302.1
"9031356072_G",293.8
"9031356072_H",257
"9031356072_I",300.3
"9031356072_J",260.4
"9031356072_K",297.3
"9031356072_L",361.7
"9031356073_A",230
"9031356073_B",165.3
"9031356073_D",270.3
"9031356073_E",170.1
"9031356073_F",229.7
"9031356073_I",192.7
"9031356073_J",216.9
"9031356073_K",347.4
"9031356073_L",296.1
"9031356074_B",253.8
"9031356074_C",287.2
"9031356074_E",319.5
"9031356076_A",422.4
"9031356076_B",299.3
"9031356076_C",401.2
"9031356076_D",418.3
"9031356076_E",427.8
"9031356076_F",284.8
"9031356076_I",330.7
"9031356076_J",234.8
"9031356076_K",467.1
"9031356076_L",342.4
"9031356077_A",324.3
"9031356077_B",718.9
"9031356077_C",476.5
"9031356077_D",661.4
"9031356077_E",310.5
"9031356077_G",396.6
"9031356077_H",239.8
"9031356077_I",457.6
"9031356077_J",305.4
"9031356077_K",533.9
"9031356077_L",429.3
"9031356081_A",478.3
"9031356081_B",723
"9031356081_C",199.4
"9031356081_D",596
"9031356081_E",131.1
"9031356081_F",129.4
"9031356081_G",133.8
"9031356081_H",126.1
"9031356081_I",389.4
"9031356081_J",352.7
"9031356081_K",466.5
"9031356081_L",482.1
"9031356084_A",263.2
"9031356084_B",306.5
"9031356084_C",341.1
"9031356084_D",465.7
"9031356084_F",249.3
"9031356084_G",219.2
"9031356084_H",282.1
"9031356084_I",350.2
"9031356084_J",357.2
"9031356084_K",274.7
"9031356085_A",233.8
"9031356085_B",279.7
"9031356085_C",394.2
