"dataset","column","sample_values"
"GSE109887","title","""""MTG_AD_rep1"""" | """"MTG_AD_rep2"""" | """"MTG_AD_rep3"""" | """"MTG_AD_rep4"""" | """"MTG_AD_rep5"""""
"GSE109887","geo_accession","""""GSM2973262"""" | """"GSM2973263"""" | """"GSM2973264"""" | """"GSM2973265"""" | """"GSM2973266"""""
"GSE109887","status","""""Public on Dec 09 2019"""""
"GSE109887","submission_date","""""Jan 30 2018"""""
"GSE109887","last_update_date","""""Dec 09 2019"""""
"GSE109887","type","""""RNA"""""
"GSE109887","channel_count","""""1"""""
"GSE109887","source_name_ch1","""""middle temporal gyrus, AD"""" | """"middle temporal gyrus, Control"""""
"GSE109887","organism_ch1","""""Homo sapiens"""""
"GSE109887","characteristics_ch1","""""gender: Male"""" | """"gender: Female"""""
"GSE109887","characteristics_ch1.1","""""age: 91"""" | """"age: 87"""" | """"age: 82"""" | """"age: 73"""" | """"age: 94"""""
"GSE109887","characteristics_ch1.2","""""tissue: brain, middle temporal gyrus"""""
"GSE109887","characteristics_ch1.3","""""disease state: AD"""" | """"disease state: Control"""""
"GSE109887","molecule_ch1","""""total RNA"""""
"GSE109887","extract_protocol_ch1","""""RNA was extracted with the Qiagen RNeasy Mini Kit in accordance with the prescribed protocol provided with the kit."""""
"GSE109887","label_ch1","""""biotin"""""
"GSE109887","label_protocol_ch1","""""Standard Illumina protocol."""""
"GSE109887","taxid_ch1","""""9606"""""
"GSE109887","hyb_protocol","""""Standard Illumina hybridization protocol."""""
"GSE109887","scan_protocol","""""Standard Illumina scanning protocol."""""
"GSE109887","description","""""SAMPLE 1"""" | """"SAMPLE 2"""" | """"SAMPLE 3"""" | """"SAMPLE 4"""" | """"SAMPLE 5"""""
"GSE109887","description.1","""""AD middle temporal gyrus sample"""" | """"Control middle temporal gyrus sample"""""
"GSE109887","data_processing","""""Raw data was exported from Illumina’s GenomeStudio with the Expression Module."""""
"GSE109887","platform_id","""""GPL10904"""""
"GSE109887","contact_name","""""Roy,,Lardenoije"""""
"GSE109887","contact_institute","""""University Medical Center Göttingen"""""
"GSE109887","contact_address","""""Robert-Koch-Str. 40"""""
"GSE109887","contact_city","""""Göttingen"""""
"GSE109887","contact_zip.postal_code","""""37075"""""
"GSE109887","contact_country","""""Germany"""""
"GSE109887","supplementary_file","""""NONE"""""
"GSE109887","data_row_count","""""31700"""""
"GSE118553","title","""""Temporal_Cortex AD (9371242065_I)"""" | """"Cerebellum AD (9344744094_C)"""" | """"Frontal_Cortex AD (9345344027_D)"""" | """"Entorhinal_Cortex AD (9371242082_K)"""" | """"Temporal_Cortex control (9344744089_I)"""""
"GSE118553","geo_accession","""""GSM3332689"""" | """"GSM3332690"""" | """"GSM3332691"""" | """"GSM3332692"""" | """"GSM3332693"""""
"GSE118553","status","""""Public on Jul 22 2019"""""
"GSE118553","submission_date","""""Aug 14 2018"""""
"GSE118553","last_update_date","""""Jul 22 2019"""""
"GSE118553","type","""""RNA"""""
"GSE118553","channel_count","""""1"""""
"GSE118553","source_name_ch1","""""Temporal_Cortex"""" | """"Cerebellum"""" | """"Frontal_Cortex"""" | """"Entorhinal_Cortex"""""
"GSE118553","organism_ch1","""""Homo sapiens"""""
"GSE118553","characteristics_ch1","""""gender: FEMALE"""" | """"gender: MALE"""""
"GSE118553","characteristics_ch1.1","""""age: 84"""" | """"age: 82"""" | """"age: 51"""" | """"age: 89"""" | """"age: 92"""""
"GSE118553","characteristics_ch1.2","""""individual: Subject  1"""" | """"individual: Subject  2"""" | """"individual: Subject  3"""" | """"individual: Subject  4"""" | """"individual: Subject  5"""""
"GSE118553","characteristics_ch1.3","""""tissue: Temporal_Cortex"""" | """"tissue: Cerebellum"""" | """"tissue: Frontal_Cortex"""" | """"tissue: Entorhinal_Cortex"""""
"GSE118553","characteristics_ch1.4","""""disease state: AD"""" | """"disease state: control"""" | """"disease state: AsymAD"""""
"GSE118553","treatment_protocol_ch1","""""Tissue blocks, approximately 0.5-1cm3, were obtained and stored in RNAlater RNA Stabilization Reagent (Qiagen) before RNA extraction."""""
"GSE118553","molecule_ch1","""""total RNA"""""
"GSE118553","extract_protocol_ch1","""""Total RNA was extracted using RNeasy Lipid Tissue Mini Kit (Qiagen,74804) and according to manufactures protocol."""""
"GSE118553","label_ch1","""""biotin"""""
"GSE118553","label_protocol_ch1","""""Total RNA (25ng) was prepared for array expression profiling using the Ovation Pico WTA system (NuGEN Technologies, Inc., San Carlos, CA), as described by the manufacturer"""""
"GSE118553","taxid_ch1","""""9606"""""
"GSE118553","hyb_protocol","""""Standard Illumina hybridization protocol"""""
"GSE118553","scan_protocol","""""Standard Illumina scanning protocol"""""
"GSE118553","data_processing","""""Raw data was Maximum Likelihood Estimation (MLE) background corrected using R package “MBCB” (version 1.18.0), log2 transformed, and Robust Spline Normalisation (RSN) using R package “lumi” (version 2.16.0)"""""
"GSE118553","platform_id","""""GPL10558"""""
"GSE118553","contact_name","""""Hamel,,Patel"""""
"GSE118553","contact_email","""""hamel.patel@kcl.ac.uk"""""
"GSE118553","contact_department","""""Biostatistics and health informatics"""""
"GSE118553","contact_institute","""""King's College London"""""
"GSE118553","contact_address","""""De Crespigny Park"""""
"GSE118553","contact_city","""""London"""""
"GSE118553","contact_zip.postal_code","""""SE5 8AF"""""
"GSE118553","contact_country","""""United Kingdom"""""
