"dataset","source_column","key","unique_values"
"GSE109887","status","status","""""Public on Dec 09 2019"""""
"GSE118553","status","status","""""Public on Jul 22 2019"""""
"GSE125583","status","status","""""Public on Apr 17 2019"""""
"GSE132903","status","status","""""Public on Jun 19 2019"""""
"GSE15222","status","status","""""Public on Nov 04 2007"""" | """"Public on Apr 10 2009"""""
"GSE29378","status","status","""""Public on Jun 07 2013"""""
"GSE33000","status","status","""""Public on Jul 31 2014"""""
"GSE36980","status","status","""""Public on Apr 17 2013"""" | """"Public on Sep 04 2020"""""
"GSE36980","contact_phone","contact_phone","""""81-92-642-6800"""""
"GSE44770","status","status","""""Public on Apr 25 2013"""""
"GSE48350","status","status","""""Public on Oct 09 2008"""" | """"Public on May 01 2009"""" | """"Public on Apr 21 2014"""""
"GSE48350","contact_phone","contact_phone","""""949 824 6071"""""
"GSE5281","status","status","""""Public on Jul 10 2006"""" | """"Public on Oct 23 2007"""""
"GSE66351","status","status","""""Public on Aug 12 2018"""""
"GSE66351","contact_phone","contact_phone","""""04906813022881"""""
"GSE97760","status","status","""""Public on Apr 14 2017"""""
"GSE97760","contact_phone","contact_phone","""""6143553572"""""
"GSE109887",NA,"""""gender","Male"""" | Female"""""
"GSE118553",NA,"""""gender","FEMALE"""" | MALE"""""
"GSE125583",NA,"""""tissue","fusiform gyrus"""""
"GSE132903",NA,"""""tissue","middle temporal gyrus"""""
"GSE15222",NA,"""""GENDER_female,AGE_100,PMI_11.25,TRANSDET_WHOLE_0.471,TRANSDET_CORTEX_0.806,HYBDATE_8.31.2006,BRAINBANK_G""""",""
"GSE15222",NA,"""""GENDER_female,AGE_100,PMI_13,TRANSDET_WHOLE_0.453,TRANSDET_CORTEX_0.78,HYBDATE_6.27.2006,BRAINBANK_G""""",""
"GSE15222",NA,"""""GENDER_female,AGE_65,PMI_6,TRANSDET_WHOLE_0.441,TRANSDET_CORTEX_0.758,HYBDATE_8.31.2006,BRAINBANK_D""""",""
"GSE15222",NA,"""""GENDER_female,AGE_66,PMI_13.58,TRANSDET_WHOLE_0.456,TRANSDET_CORTEX_0.786,HYBDATE_6.22.2006,BRAINBANK_C""""",""
