"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050803","regulation of synapse structure or activity","71/2006","318/18986",0.223270440251572,2.11316678894135,6.88060817024144,6.83260871954955e-10,3.97794479652175e-06,3.71262381161208e-06,"CDH2/ARMCX5-GPRASP2/CDH8/ABI2/PLXNC1/CAP2/C1QL1/CHD4/SLITRK1/CLN3/PRICKLE1/ZDHHC15/DMPK/EPHA4/EPHA7/AKT1/SLITRK3/SHANK2/PUM2/FLRT3/SLC17A8/NEGR1/DNM3/IL1RAPL2/STAU2/GPM6A/GRIN2B/HTR4/LRRTM3/ARF4/AMIGO3/RHOA/VSTM5/C1QL3/MAP1B/MARK1/NRCAM/PAFAH1B1/LRRN3/PPT1/SYBU/VPS35/PRNP/SLC17A6/RTN4/AMIGO1/MRTFB/NLGN4X/ADGRB3/PTPRO/ARHGAP22/ROBO2/BDNF/CLSTN2/CAPRIN2/CDKL5/UBE3A/YWHAZ/GPRASP3/PPFIA2/CDK5R1/NAE1/WASL/TRIM47/ZNF804A/DCLK1/S1PR2/NRXN1/HOMER1/PLPPR4/CDC42",71
"GO:0042391","regulation of membrane potential","90/2006","466/18986",0.1931330472103,1.82792823246997,6.2196662609119,9.55502810646288e-09,2.11476030198497e-05,1.97371000720433e-05,"ARL6IP5/PRDX3/CHRNB3/CLN3/CNR1/COL6A1/CTNS/CXADR/TMEM161B/DMPK/DRD1/AKT1/ABCD1/FGF12/FGF13/FHL1/RAB3GAP1/RIMS1/GPD1L/NNT/GABRA1/GABRA4/GABRA6/GABRB2/GABRG3/NALCN/GBA1/KCNH5/GLRA2/GLRB/GNAQ/GPR35/ANK2/GRIA2/GRIA3/GRIN2A/GRIN2B/GRM1/GRM5/GSK3B/JUP/KCNA3/KCNA4/KCNB1/KCND2/KCNJ3/KCNK1/KCNK2/KCNQ3/RGS7BP/MET/ATP1B1/ATP2A2/NRCAM/OPRD1/PRKN/GPR88/PPP3CA/MFN1/CHRNA10/GJD2/NLGN4X/KCTD16/BAK1/RYR2/SCN1A/SCN2A/SCN3A/SCN7A/SCN9A/INSYN2A/SLC8A1/TSPO/TRPC5/TRPV1/CACNA1D/CACNA2D1/CACNB4/GLRA3/SLC8B1/CAMK2D/NETO1/NPFF/CHRNA6/KCNH7/HTR3B/S1PR2/NRXN1/SLC25A27/PIEZO1",90
"GO:0050807","regulation of synapse organization","67/2006","312/18986",0.21474358974359,2.03246350691515,6.32026447681409,1.08970815973118e-08,2.11476030198497e-05,1.97371000720433e-05,"CDH2/ARMCX5-GPRASP2/CDH8/ABI2/PLXNC1/CAP2/C1QL1/CHD4/SLITRK1/CLN3/PRICKLE1/ZDHHC15/DMPK/EPHA4/EPHA7/AKT1/SLITRK3/SHANK2/PUM2/FLRT3/NEGR1/DNM3/IL1RAPL2/STAU2/GPM6A/GRIN2B/HTR4/LRRTM3/ARF4/AMIGO3/RHOA/VSTM5/C1QL3/MAP1B/MARK1/NRCAM/PAFAH1B1/LRRN3/VPS35/PRNP/RTN4/AMIGO1/MRTFB/NLGN4X/ADGRB3/PTPRO/ARHGAP22/ROBO2/BDNF/CLSTN2/CAPRIN2/CDKL5/UBE3A/YWHAZ/GPRASP3/PPFIA2/CDK5R1/NAE1/WASL/TRIM47/ZNF804A/DCLK1/S1PR2/NRXN1/HOMER1/PLPPR4/CDC42",67
"GO:0007611","learning or memory","61/2006","282/18986",0.216312056737589,2.04730842932196,6.09023188079448,3.7059979109324e-08,5.00274494535452e-05,4.6690718342259e-05,"ARMCX5-GPRASP2/RAPGEF3/ARL6IP5/TBR1/C1QL1/CLN3/CNR1/COMT/CTNS/VPS13B/AGER/DRD1/FGF13/SHANK2/SORCS3/SYT11/PLCB1/DDHD2/AFF2/CNTNAP2/BLOC1S6/GRIN2A/GRIN2B/GRM5/TMOD2/HMGCR/HTR2A/TAFA2/KCNK2/ARF4/KIT/KRAS/PAFAH1B1/PRKN/PAIP2/GPR88/PPT1/PRKAR2B/MAPK1/PRNP/PAK5/NLGN4X/ADGRB3/RASGRF1/SCN2A/CLSTN2/CSMD1/BRAF/CLDN5/UBE3A/VDAC1/GPRASP3/CAMK4/NETO1/ATAD1/PDE8B/DNAH11/SYNJ1/NRXN3/NRXN1/PJA2",61
"GO:0007612","learning","41/2006","159/18986",0.257861635220126,2.44055882666466,6.26961569302773,4.2964144154539e-08,5.00274494535452e-05,4.6690718342259e-05,"RAPGEF3/TBR1/C1QL1/CLN3/COMT/CTNS/DRD1/FGF13/SHANK2/SORCS3/SYT11/PLCB1/DDHD2/CNTNAP2/GRIN2A/GRM5/HMGCR/HTR2A/TAFA2/ARF4/KIT/KRAS/PRKN/GPR88/PPT1/PRKAR2B/PAK5/NLGN4X/ADGRB3/CLSTN2/CSMD1/BRAF/CLDN5/UBE3A/VDAC1/NETO1/ATAD1/PDE8B/SYNJ1/NRXN3/NRXN1",41
"GO:0050890","cognition","67/2006","329/18986",0.203647416413374,1.92744259622349,5.83265117431918,9.50637076133042e-08,9.22434842874429e-05,8.60910278420836e-05,"ARMCX5-GPRASP2/RAPGEF3/ARL6IP5/TBR1/CHL1/C1QL1/FAM107A/CLN3/TTC8/CNR1/COMT/CTNS/GPR155/VPS13B/AGER/DRD1/FGF13/SHANK2/SORCS3/SYT11/PLCB1/DDHD2/AFF2/CNTNAP2/BLOC1S6/GRIN2A/GRIN2B/GRM5/TMOD2/HMGCR/HTR2A/TAFA2/KCNK2/ARF4/KIT/KRAS/PAFAH1B1/PRKN/PAIP2/GPR88/PPT1/PRKAR2B/MAPK1/PRNP/PAK5/NLGN4X/ADGRB3/RASGRF1/SCN2A/CLSTN2/CSMD1/BRAF/CLDN5/UBE3A/VDAC1/TUSC3/GPRASP3/CAMK4/NETO1/ATAD1/PDE8B/DNAH11/SYNJ1/NRXN3/NRXN1/PJA2/DOP1B",67
"GO:0099175","regulation of postsynapse organization","38/2006","150/18986",0.253333333333333,2.39770023263543,5.90700377252354,2.17262472110678e-07,0.000180700301804053,0.000168647952035387,"CDH2/ARMCX5-GPRASP2/ABI2/PRICKLE1/ZDHHC15/EPHA4/EPHA7/AKT1/SHANK2/PUM2/DNM3/STAU2/GRIN2B/HTR4/ARF4/MAP1B/MARK1/NRCAM/PAFAH1B1/VPS35/PRNP/RTN4/ARHGAP22/CAPRIN2/CDKL5/UBE3A/GPRASP3/PPFIA2/CDK5R1/NAE1/WASL/TRIM47/ZNF804A/DCLK1/S1PR2/HOMER1/PLPPR4/CDC42",38
"GO:0031346","positive regulation of cell projection organization","69/2006","363/18986",0.190082644628099,1.79905737333454,5.28333776766383,9.2027038494281e-07,0.000659273346037113,0.000615301128612627,"WASHC1/ARMCX5-GPRASP2/ACTR3/ACTR2/ABI2/PLXNC1/TENM1/CDC42EP3/NCKAP1/EHD1/SLITRK1/ARAP1/CNR1/ZDHHC15/PLPPR5/DVL2/EPHA3/EPHA4/GPC2/RUFY3/PLXND1/ATMIN/PUM2/GRIP1/NEGR1/FAM98A/SS18L1/DNM3/TIAM2/NPTN/STAU2/GPM6A/GSK3B/KIT/MAP1B/PAFAH1B1/SERPINI1/PIK3R1/PLXNB1/PLXNA3/TENM3/TMEM30A/PRKCI/MAP2K1/CORO1B/TENM2/AMIGO1/LRRC7/ROBO2/BDNF/ROBO3/BMPR2/CAPRIN2/BRAF/CDKL5/TRPC5/WNT1/SHOC2/GPRASP3/RND2/SF3A2/WASL/ZNF804A/SLIT2/RIPOR2/TOX/IST1/PLEKHM1/CDC42",69
"GO:0072659","protein localization to plasma membrane","59/2006","295/18986",0.2,1.89292123629113,5.31263297120252,1.01914464347888e-06,0.000659273346037113,0.000615301128612627,"CDH2/RAMP3/SEC23A/ARL6IP5/VAMP5/PGRMC1/EHD1/RER1/CLN3/CLTC/TTC8/TMEM150A/CSK/CNST/EPHA3/AKT1/AKT2/ACSL3/FGF13/EPB41L3/EFR3A/PACS2/GRIP1/SCRIB/CNPY4/STAC3/ARHGEF16/HYCC2/ANK2/EHD2/JUP/KCNB1/RAB8A/MYO5A/ATP1B1/ATP2B4/PIK3R1/PLS1/VPS35/PRKCE/PRKCI/PRNP/PSMD10/TTC7A/LRRC7/DPP10/RAB13/WNK4/PLEKHF1/CAMK2D/FRMD8/VAMP4/RAB11A/SYS1/NRXN1/ROCK2/BAG4/PREPL/C2CD5",59
"GO:0007416","synapse assembly","55/2006","269/18986",0.204460966542751,1.93514252780691,5.30930592038896,1.14580463878046e-06,0.000667087460697981,0.000622594057408917,"CDH2/ARMCX5-GPRASP2/CDH9/PLXNC1/NRG3/CHD4/SLITRK1/CBLN4/PRICKLE1/DRD1/EPHA7/FGF13/SLITRK3/SHANK2/PLXND1/PUM2/FLRT3/GABRA1/GABRA4/GABRA6/GABRB2/GABRG3/NEGR1/DNM3/IL1RAPL2/NPTN/STAU2/PCLO/GPM6A/HTR4/LRRTM3/AMIGO3/VSTM5/C1QL3/MAP1B/MARK1/NRCAM/PLXNB1/LRRN3/PLXNA3/VPS35/RTN4/AMIGO1/NLGN4X/ADGRB3/ROBO2/BDNF/CLSTN2/GPRASP3/NAE1/TRIM47/SLC25A46/DCLK1/S1PR2/NRXN1",55
