"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Development and regeneration","hsa04360","Axon guidance","43/948","184/9423",0.233695652173913,2.32290520088057,6.06081484858437,8.766217186177e-08,2.98928006048636e-05,2.03929894541591e-05,"10154/10298/10371/151449/1630/1945/1947/1948/2042/2043/2044/2045/223117/22854/2771/285220/2932/3611/3845/387/4233/4775/5291/5295/5364/5530/55558/5594/57144/57689/5921/59277/5998/6092/6237/64221/659/7224/7976/817/9353/9475/998",43
"Organismal Systems","Nervous system","hsa04730","Long-term depression","20/948","60/9423",0.333333333333333,3.31329113924051,6.01179652457948,7.70874554938723e-07,0.000131434111617052,8.96648824428725e-05,"23236/2768/2771/2776/283748/2891/2892/2911/2977/2982/2983/3479/3708/3845/5331/5332/5515/5594/5604/673",20
"Environmental Information Processing","Signal transduction","hsa04071","Sphingolipid signaling pathway","31/948","125/9423",0.248,2.46508860759494,5.5148028593346,1.442584652769e-06,0.000163973788864743,0.000111863581846298,"10000/10715/165679/207/208/23236/253782/2768/2771/2776/3845/387/4985/5291/5295/5331/5332/5515/5521/5527/5529/5581/5594/5599/5602/5604/5970/79603/8717/9294/9475",31
"Organismal Systems","Nervous system","hsa04726","Serotonergic synapse","29/948","115/9423",0.252173913043478,2.50657677490369,5.43648089546388,2.18001133440202e-06,0.000185845966257773,0.000126784869711276,"10411/121278/1564/1573/23236/2561/260293/2771/2776/283748/3350/3356/3358/3360/3363/3708/3751/3760/3763/3845/5331/5332/54331/5567/5594/5604/673/776/9177",29
NA,NA,"hsa04517","IgSF CAM signaling","56/948","300/9423",0.186666666666667,1.85544303797468,5.03603513340169,3.13413428956064e-06,0.000213747958548036,0.000145819721682716,"1000/10000/10096/10097/10298/114798/117157/117178/1445/1525/1630/1796/207/208/22865/22999/23136/23426/26047/26280/287/2932/340156/3739/3786/387/4008/4628/4868/4897/51678/5291/5295/55558/5584/5594/5599/5602/5604/57144/57502/57513/57689/5819/5829/5921/6092/64221/80059/81/8499/8976/92154/9353/9564/998",56
"Human Diseases","Neurodegenerative disease","hsa05017","Spinocerebellar ataxia","33/948","144/9423",0.229166666666667,2.27788765822785,5.16807966531211,4.36040816844481e-06,0.000247816530906614,0.000169061439513387,"10000/10213/207/208/23236/23369/25814/2776/2891/2892/2903/2904/291/2911/2959/29982/3708/488/4976/5291/5295/5331/5332/54205/5599/5602/5682/5701/5706/7416/7417/9519/9698",33
"Organismal Systems","Nervous system","hsa04720","Long-term potentiation","20/948","67/9423",0.298507462686567,2.96712639334971,5.4041877092283,5.37292116206312e-06,0.000261738016609075,0.000178558733355782,"10411/23236/27330/2776/2891/2903/2904/2911/2915/3708/3845/5331/5332/5530/5567/5594/5604/673/814/817",20
NA,NA,"hsa04519","Cadherin signaling","68/948","404/9423",0.168316831683168,1.67304800100263,4.62448519036087,1.19492100103345e-05,0.000509335076690506,0.000347470448984726,"1000/1005/1006/1007/1008/10096/10097/1010/1012/10152/10787/120114/144165/147138/166336/1856/22881/2554/2557/2559/2561/2567/27328/2932/342184/3728/3845/387/4233/5099/51384/5594/5599/5602/5604/56134/56135/56136/56137/56138/56139/56140/56141/56142/56143/56144/56145/56146/56147/5970/6237/64072/64881/7408/7471/7478/7529/7532/7534/7976/8036/81/8463/8936/92597/9475/9752/998",68
"Environmental Information Processing","Signal transduction","hsa04022","cGMP-PKG signaling pathway","35/948","166/9423",0.210843373493976,2.0957564434955,4.76363865252506,1.60757299025449e-05,0.000558942991839707,0.00038131316930568,"10000/151/207/208/23236/2768/2771/2776/291/2977/2982/2983/340156/3708/387/4205/4772/4775/481/488/490/493/4985/5331/5332/5530/5581/5594/5604/6546/7408/7416/7417/776/9475",35
"Organismal Systems","Nervous system","hsa04728","Dopaminergic synapse","30/948","133/9423",0.225563909774436,2.24207671076425,4.82472147793478,1.63912900832759e-05,0.000558942991839707,0.00038131316930568,"10000/1312/1812/207/208/23236/2771/2776/2891/2892/2903/2904/2932/3708/3760/3763/5331/5332/54331/5515/5521/5527/5529/5530/5567/5599/5602/6323/776/817",30
"Environmental Information Processing","Signal transduction","hsa04014","Ras signaling pathway","45/948","239/9423",0.188284518828452,1.87152428367142,4.56423892769861,2.32404431681394e-05,0.000720453738212321,0.000491496453603713,"10000/10125/10298/11186/1945/207/208/2250/2255/2322/2323/27040/283748/2903/2904/3363/3479/3815/3845/387/4233/4254/5228/5291/5295/54331/5567/5594/5599/5602/5604/57144/5863/5900/5921/5923/5924/5970/6237/627/7423/7535/80310/8036/998",45
"Environmental Information Processing","Signal transduction","hsa04070","Phosphatidylinositol signaling system","24/948","98/9423",0.244897959183673,2.43425471454405,4.77332240459421,2.73555228278306e-05,0.000776730794040596,0.00052988888866483,"1040/1607/160851/23236/3612/3631/3633/3707/3708/5288/5291/5295/5297/5331/5332/54928/8395/8760/8776/8821/8867/9107/9108/9162",24
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","53/948","301/9423",0.176079734219269,1.75021026956558,4.42412189096356,3.18661044596419e-05,0.000776730794040596,0.00052988888866483,"10000/10125/11184/1616/1945/207/208/2250/2255/2322/2323/27330/2768/283748/3479/3815/3845/4215/4233/4254/4296/4772/4775/4791/51701/5228/5530/5567/5594/5598/5599/5602/5604/5801/5921/5923/5924/5970/6237/627/6416/673/7423/776/781/785/80310/84451/8649/8717/9064/9261/998",53
NA,NA,"hsa04082","Neuroactive ligand signaling","39/948","199/9423",0.195979899497487,1.94801539342281,4.52051740284881,3.18892408110508e-05,0.000776730794040596,0.00052988888866483,"1129/1132/151/1812/23236/246213/2554/2557/2559/2561/2567/2743/2771/2776/2891/2892/2903/2904/2911/2915/2917/2918/3274/3350/3356/3358/3360/3363/4985/4988/5331/5332/54331/5567/57084/6539/8001/8973/9177",39
