Astrocyte,Chandelier,Endothelial,Immune,L2/3 IT,L4 IT,L5 ET,L5 IT,L5/6 NP,L6 CT,L6 IT,L6 IT Car3,L6b,Lamp5,Lamp5 Lhx6,OPC,Oligodendrocyte,Pax6,Pvalb,Sncg,Sst,Sst Chodl,VLMC & Perivascular,Vip,sample_id
0,0.194011421732109,6.34078578150059e-62,0,0,0,0.35756114287424,0,0,0,0,0,0,7.5408351027499e-194,0,0,0,0,0,0,0,0.448427435393651,0,0,GSM3577568
0,0.0851352652899359,6.20676611385628e-63,0,0,0,0.831894270419756,0,0,0,0,0,0,1.47008849810912e-194,0,0,0,0,0,0,0,0.0829704642903081,0,0,GSM3577569
0,0.114100331307657,1.53414102354743e-62,0,0,0,0.670765450239054,0,0,0,0,0,0,4.65852086706031e-194,0,0,0,0,0,0,0,0.215134218453289,0,0,GSM3577570
0,0.101188272074933,1.98098037973057e-62,0,0,0,0.730060745392928,0,0,0,0,0,0,3.40349482889804e-194,0,0,0,0,0,0,0,0.168750982532139,0,0,GSM3577571
0,0.0724406296266618,1.13889988980434e-62,0,0,0,0.814432934322912,0,0,0,0,0,0,2.47893563819392e-194,0,0,0,0,0,0,0,0.113126436050427,0,0,GSM3577572
0,0.380457389447142,2.34384539623135e-62,0,0,0,0.380457389447142,0,0,0,0,0,0,5.14690354740292e-194,0,0,0,0,0,0,0,0.239085221105716,0,0,GSM3577573
0,0.224393886663209,3.94900201019324e-62,0,0,0,0.553451825068916,0,0,0,0,0,0,4.77775598032257e-194,0,0,0,0,0,0,0,0.222154288267875,0,0,GSM3577574
0,0.036392992992487,6.47283874829805e-63,0,0,0,0.903693295978689,0,0,0,0,0,0,1.15355493751239e-194,0,0,0,0,0,0,0,0.0599137110288239,0,0,GSM3577575
0,0.208184265249028,8.81046326143405e-62,0,0,0,0.396758943033119,0,0,0,0,0,0,8.09170512341181e-194,0,0,0,0,0,0,0,0.395056791717854,0,0,GSM3577576
0,0.146630617279902,2.63983938580874e-62,0,0,0,0.547138107787104,0,0,0,0,0,0,5.95496507483042e-194,0,0,0,0,0,0,0,0.306231274932994,0,0,GSM3577577
0,0.119387106999422,1.30046052375098e-62,0,0,0,0.695678203239876,0,0,0,0,0,0,2.51758969799823e-194,0,0,0,0,0,0,0,0.184934689760702,0,0,GSM3577578
