cell_type,mean_AD,mean_Control,diff,p,n_AD,n_Control,p_adj
Chandelier,0,0,0,,216,70,
Endothelial,0,0,0,,13,3,
Immune,0,0,0,,14,5,
L2/3 IT,0,0,0,,20,3,
L4 IT,0,0,0,,216,70,
L5 ET,0,0,0,,30,5,
L5 IT,0,0,0,,116,29,
L5/6 NP,0,0,0,,215,69,
L6 CT,0,0,0,,135,26,
L6 IT,0,0,0,,83,6,
L6 IT Car3,0,0,0,,76,13,
Lamp5,0,0,0,,218,70,
Lamp5 Lhx6,0,0,0,,214,66,
OPC,0,0,0,,16,3,
Pax6,0,0,0,,177,52,
Pvalb,0,0,0,,214,61,
Sncg,0,0,0,,194,69,
Sst,0,0,0,,219,70,
Sst Chodl,0,0,0,,207,67,
VLMC & Perivascular,0,0,0,,22,8,
Vip,0,0,0,,219,70,
Astrocyte,,,,,0,0,
L6b,,,,,7,2,
Oligodendrocyte,,,,,0,0,
