"dataset_id","isoform","log2FC","SE","n_samples"
"GSE5281","VDAC1",-0.19578907451522,0.153267180741737,161
"GSE5281","VDAC2",-0.893339492014016,0.141621262721492,161
"GSE5281","VDAC3",-0.915076422828305,0.148469343912207,161
"GSE109887","VDAC1",-0.651435757803302,0.143048107916869,78
"GSE109887","VDAC2",-0.0409671086153276,0.016636223768706,78
"GSE132903","VDAC1",-0.648648570153585,0.0919920241107549,195
"GSE132903","VDAC2",-0.0392535352580479,0.0105964796113281,195
"GSE29378","VDAC1",-0.0715406592565832,0.128574153150844,63
"GSE29378","VDAC2",-0.032745642314634,0.0332954074992619,63
"GSE29378","VDAC3",-0.124657380655865,0.119960398482961,63
"GSE36980","VDAC1",-0.23399423597679,0.0790116180714994,80
"GSE36980","VDAC2",-0.213416605415862,0.0425185927870219,80
"GSE36980","VDAC3",-0.196443230174082,0.0574995170052977,80
"GSE48350","VDAC1",-0.33703220819689,0.0940189365391494,253
"GSE48350","VDAC2",-0.156928208641393,0.0499559030080566,253
"GSE48350","VDAC3",-0.299393919545459,0.0707686153308993,253
"GSE15222","VDAC1",-0.411864213613024,0.0596451846760519,363
"GSE15222","VDAC2",-0.259302822288579,0.048434877238029,363
"GSE15222","VDAC3",-0.237275742917792,0.0364921666807914,363
"GSE125583","VDAC1",-0.501476051486163,0.0688078345028405,288
"GSE125583","VDAC2",-0.318578051862598,0.0575561883097318,288
"GSE125583","VDAC3",-0.422583338101707,0.0591814866276394,288
