gse109887_sample,best_r,best_match_gse132903
GSM2973300,0.953,GSM3896052
GSM2973297,0.947,GSM3896000
GSM2973331,0.942,GSM3895955
GSM2973262,0.94,GSM3896082
GSM2973323,0.939,GSM3896140
GSM2973329,0.939,GSM3895960
GSM2973272,0.938,GSM3896075
GSM2973338,0.936,GSM3896137
GSM2973295,0.934,GSM3896099
GSM2973302,0.934,GSM3896059
GSM2973276,0.933,GSM3896065
GSM2973288,0.933,GSM3895985
GSM2973293,0.933,GSM3895995
GSM2973337,0.933,GSM3896116
GSM2973290,0.932,GSM3896109
GSM2973292,0.932,GSM3896098
GSM2973282,0.931,GSM3896077
GSM2973305,0.931,GSM3896050
GSM2973310,0.931,GSM3896055
GSM2973324,0.931,GSM3895961
GSM2973285,0.929,GSM3896025
GSM2973304,0.929,GSM3896051
GSM2973316,0.929,GSM3896113
GSM2973332,0.928,GSM3896132
GSM2973270,0.927,GSM3896038
GSM2973275,0.927,GSM3896067
GSM2973294,0.927,GSM3895990
GSM2973321,0.927,GSM3895974
GSM2973325,0.927,GSM3896136
GSM2973278,0.926,GSM3896068
GSM2973291,0.926,GSM3895993
GSM2973307,0.925,GSM3896064
GSM2973318,0.924,GSM3896127
GSM2973273,0.923,GSM3896011
GSM2973303,0.923,GSM3896054
GSM2973313,0.923,GSM3895954
GSM2973314,0.923,GSM3896046
GSM2973334,0.923,GSM3896125
GSM2973284,0.922,GSM3896031
GSM2973286,0.922,GSM3895989
GSM2973309,0.922,GSM3896060
GSM2973264,0.921,GSM3896081
GSM2973299,0.921,GSM3896002
GSM2973315,0.921,GSM3896133
GSM2973330,0.921,GSM3895957
GSM2973317,0.92,GSM3896114
GSM2973265,0.919,GSM3896091
GSM2973268,0.919,GSM3896092
GSM2973289,0.919,GSM3896111
GSM2973296,0.919,GSM3895988
GSM2973308,0.919,GSM3896041
GSM2973266,0.918,GSM3896079
GSM2973283,0.918,GSM3896016
GSM2973327,0.918,GSM3895958
GSM2973328,0.918,GSM3896128
GSM2973274,0.917,GSM3896034
GSM2973279,0.917,GSM3896012
GSM2973298,0.917,GSM3896117
GSM2973322,0.917,GSM3895969
GSM2973267,0.916,GSM3896123
GSM2973311,0.916,GSM3895953
GSM2973287,0.914,GSM3896084
GSM2973312,0.914,GSM3896053
GSM2973319,0.914,GSM3896131
GSM2973320,0.914,GSM3895972
GSM2973335,0.913,GSM3895956
GSM2973339,0.913,GSM3896094
GSM2973271,0.912,GSM3896019
GSM2973277,0.912,GSM3896033
GSM2973333,0.912,GSM3896110
GSM2973280,0.911,GSM3896035
GSM2973301,0.911,GSM3896058
GSM2973326,0.91,GSM3896138
GSM2973263,0.909,GSM3896090
GSM2973281,0.909,GSM3896036
GSM2973306,0.908,GSM3896062
GSM2973269,0.904,GSM3896021
GSM2973336,0.903,GSM3896086
