region,batch_id,n_AD,n_Control,log2FC,SE,p
cingulate,cingulate_batch1,2,2,-0.402592973783934,0.118917700772256,0.150362419911756
cingulate,cingulate_batch2,2,2,-0.122604799857358,0.0520750495959705,0.167452815848019
cingulate,cingulate_batch3,2,2,-0.11718196065452,0.105778011210889,0.463470176649599
cingulate,cingulate_batch4,2,2,-0.175873250635098,0.127094281966296,0.397257686035408
cingulate,cingulate_batch5,2,2,-0.315577211820852,0.054157656495598,0.0724969129077452
frontal,frontal_batch1,2,2,-0.238882803976653,0.126260717564331,0.281231831917296
frontal,frontal_batch2,2,2,0.0682813744954594,0.0981692346174979,0.560018014028436
frontal,frontal_batch3,2,2,-0.321832223871674,0.114461083581366,0.211871708657122
frontal,frontal_batch4,2,2,-0.188938403763785,0.279241882113994,0.572017806815866
frontal,frontal_batch5,2,2,-0.0673266432783812,0.324865933393817,0.866175824053071
