batch_id,channel,vdac1_sum
cingulate_batch1,127N,19150.1
cingulate_batch1,127C,16359.4
cingulate_batch1,128N,22834.5
cingulate_batch1,128C,23974.2
cingulate_batch1,129N,24880
cingulate_batch1,129C,23369.1
cingulate_batch1,130N,17709.1
cingulate_batch1,130C,20000.5
cingulate_batch2,127N,16175.7
cingulate_batch2,127C,17200.3
cingulate_batch2,128N,17818.4
cingulate_batch2,128C,18507.6
cingulate_batch2,129N,18198.5
cingulate_batch2,129C,18946
cingulate_batch2,130N,16896.2
cingulate_batch2,130C,17182.5
cingulate_batch3,127N,9471.7
cingulate_batch3,127C,8188.1
cingulate_batch3,128N,9469.3
cingulate_batch3,128C,9635
cingulate_batch3,129N,10024.3
cingulate_batch3,129C,9408.6
cingulate_batch3,130N,8378.2
cingulate_batch3,130C,8646
cingulate_batch4,127N,14549.5
cingulate_batch4,127C,12202.6
cingulate_batch4,128N,14975.5
cingulate_batch4,128C,15129.1
cingulate_batch4,129N,12940.8
cingulate_batch4,129C,14258
cingulate_batch4,130N,13936
cingulate_batch4,130C,15161.6
cingulate_batch5,127N,11750.9
cingulate_batch5,127C,10951.2
cingulate_batch5,128N,14301.9
cingulate_batch5,128C,13936.4
cingulate_batch5,129N,12597.8
cingulate_batch5,129C,13868
cingulate_batch5,130N,11066.7
cingulate_batch5,130C,11046.2
frontal_batch1,127N,8271.1
frontal_batch1,127C,9785.8
frontal_batch1,128N,10878.2
frontal_batch1,128C,10361.9
frontal_batch1,129N,12994.8
frontal_batch1,129C,10671.1
frontal_batch1,130N,9048.3
frontal_batch1,130C,10086.8
frontal_batch2,127N,1832.8
frontal_batch2,127C,2031.9
frontal_batch2,128N,1924.2
frontal_batch2,128C,1760.5
frontal_batch2,129N,2086.1
frontal_batch2,129C,2075.8
frontal_batch2,130N,1641.6
frontal_batch2,130C,1732.9
frontal_batch3,127N,918.5
frontal_batch3,127C,1075.4
frontal_batch3,128N,1230.8
frontal_batch3,128C,1254.3
frontal_batch3,129N,1369
frontal_batch3,129C,1122.4
frontal_batch3,130N,1074.7
frontal_batch3,130C,1143.4
frontal_batch4,127N,9464.4
frontal_batch4,127C,6973.7
frontal_batch4,128N,8222.2
frontal_batch4,128C,10431.2
frontal_batch4,129N,10018.5
frontal_batch4,129C,9523.8
frontal_batch4,130N,9289.2
frontal_batch4,130C,9697.1
frontal_batch5,127N,1298.7
frontal_batch5,127C,2003.4
frontal_batch5,128N,1797.5
frontal_batch5,128C,1589.2
frontal_batch5,129N,1830.9
frontal_batch5,129C,1695.3
frontal_batch5,130N,1596.5
frontal_batch5,130C,1426.4
