"dataset_id","brain_region","log2FC","SE","n_samples"
"GSE5281","Entorhinal Cortex ",-0.309820595638784,0.347194211913249,23
"GSE5281","hippocampus ",-0.173492679041507,0.332700829961824,23
"GSE5281","Medial Temporal Gyrus ",0.0138607373754821,0.394551819175198,28
"GSE5281","Primary Visual Cortex ",0.085920583698242,0.303785664747473,31
"GSE5281","Superior Frontal Gyrus ",-0.549314870209947,0.418904314231688,34
"GSE36980","Frontal cortex",-0.187628222222221,0.0600576436983091,33
"GSE36980","Temporal cortex",-0.153808105263159,0.0710062270109516,29
"GSE36980","Hippocampus",-0.226714,0.12008289160242,18
"GSE48350","hippocampus",-0.365024252598957,0.154190764848427,62
"GSE109887","middle temporal gyrus",-0.651435757803302,0.141742794125315,78
"GSE132903","middle temporal gyrus",-0.648648570153585,0.0916512843429693,195
"GSE29378","hippocampus",-0.0715406592565832,0.125883990052222,63
