cell_type,n_carrier,n_non,log2FC,p,p_adj
Sst Chodl,4,13,-0.200152412250909,0.70433848135556,0.930618331731924
Sst,54,128,-0.157141389468028,0.0193140451718925,0.560107309984882
VLMC & Perivascular,45,105,-0.121849785453993,0.399453812661662,0.930618331731924
L6 IT,44,111,-0.109096903406225,0.18482659824167,0.785549361852661
L6 CT,49,114,-0.101596900755371,0.162083836941253,0.785549361852661
Pvalb,55,127,-0.0957090995738206,0.118267864831018,0.785549361852661
Pax6,51,121,-0.0851809128727794,0.261149539810194,0.785549361852661
EC IT,9,25,-0.0829250353131377,0.641395406037393,0.930618331731924
Lamp5 Lhx6,54,128,-0.0688129719419433,0.194316693753961,0.785549361852661
Vip,55,136,-0.0679436620438034,0.270879090294021,0.785549361852661
DG,10,21,-0.0652261013046491,0.438445216532733,0.930618331731924
L5 ET,30,50,-0.0553690303410672,0.632572992732549,0.930618331731924
Immune,55,138,-0.040844214876695,0.502875018521441,0.930618331731924
L5/6 NP,35,88,-0.0297524274856347,0.692929920947148,0.930618331731924
L4 IT,36,91,-0.0291063074808449,0.705986320624219,0.930618331731924
L5 IT,43,111,-0.0285733903396199,0.704602187109981,0.930618331731924
L6 IT Car3,36,89,-0.0192510066940113,0.824794541795735,0.955524208977523
Astrocyte,55,138,-0.0172415958189296,0.758016251494527,0.955524208977523
Chandelier,44,111,-0.0127420431064111,0.874222435539268,0.955524208977523
L6b,42,106,-0.0118111283825684,0.901453513210449,0.955524208977523
Sncg,48,113,-0.0100562336600394,0.920040748431579,0.955524208977523
Lamp5,54,134,0.0012708243726669,0.986015977884016,0.986015977884016
CA2-4,9,16,0.0114556983274738,0.922575098323125,0.955524208977523
Oligodendrocyte,54,137,0.0292362031494076,0.661276547851941,0.930618331731924
OPC,55,138,0.0434507194467928,0.54007724781275,0.930618331731924
Sub-CA1,10,21,0.0753917424302513,0.603864786371391,0.930618331731924
L2/3 IT,36,93,0.0905939263827893,0.152752166057216,0.785549361852661
Endothelial,13,39,0.182334228665608,0.223714071592063,0.785549361852661
Ependymal,6,15,0.621652530228484,0.14520135374284,0.785549361852661
