cell_type,n_regions,pooled_rho,ci_lo,ci_hi,pval,I2,p_adj
Lamp5,5,-0.222880289703989,-0.346112877133803,-0.0920873938581239,0.000941869673170534,5.67669930674417,0.0216630024829223
Pvalb,5,-0.180755309308542,-0.302511206213799,-0.0531950725016145,0.0056798656971672,0,0.0552109884646876
Astrocyte,5,-0.174627071508577,-0.295984959325151,-0.0477211213195115,0.00720143327800273,0,0.0552109884646876
Lamp5 Lhx6,5,-0.170034122170074,-0.294551811092123,-0.0398392591226888,0.0106943458829387,0,0.0614924888268975
L4 IT,4,-0.156128522011864,-0.287337023670886,-0.0191684591848481,0.025631021897322,0,0.0982522506064011
Pax6,4,-0.151587175247865,-0.291772296855557,-0.00502665520582802,0.0426981513873315,0,0.140293925986946
Sst,5,-0.107449296525449,-0.23329138389542,0.0219325698492968,0.103368849542269,0,0.297185442434023
OPC,5,-0.0998867886390967,-0.229926464479204,0.0336571194705756,0.142352306532599,6.57800533104734,0.336094713359511
Vip,5,-0.0955384155833603,-0.221342085936119,0.0333930810893884,0.146128136243266,0,0.336094713359511
Chandelier,5,-0.0906831579067792,-0.222098534456232,0.0439681518978552,0.186542163938817,0,0.361956316473812
L6 IT,5,-0.0871839579895188,-0.214401819677809,0.0429425721371446,0.188846773812424,0,0.361956316473812
L5/6 NP,4,-0.0824496382318916,-0.219712919018491,0.0580147612773868,0.249730807383849,0,0.441831428448349
Immune,5,-0.0658518531928279,-0.192220522992831,0.0626650681034679,0.315210266972849,0.0217732699089863,0.517845438598252
Oligodendrocyte,5,-0.0527098462136661,-0.180011855226197,0.0763287026917092,0.423637827014637,0,0.649578001422443
L6 IT Car3,4,-0.0442353796340433,-0.181179961618844,0.0943920485329525,0.532348958206979,0,0.720236825809442
L5 IT,5,-0.0437268897076238,-0.172671592097349,0.0866913172812829,0.51161705280849,0,0.720236825809442
L6 CT,5,-0.00931264635250897,-0.141711355579861,0.123413388981972,0.891132487321375,0,0.946036834104819
L6b,5,-0.00767872749866462,-0.139808157126006,0.124719376465359,0.909937842873761,0,0.946036834104819
Sncg,5,-0.00478597627514613,-0.14240195417112,0.133011520028145,0.946036834104819,0,0.946036834104819
L2/3 IT,4,0.0270365090049153,-0.110745985186769,0.163799331695471,0.70142164112611,0,0.849089355047396
L5 ET,3,0.0274638879091837,-0.225919303695277,0.277366367613399,0.834283252629217,0,0.946036834104819
VLMC & Perivascular,5,0.0391345782862813,-0.146068403898995,0.221687275812835,0.680354672341312,39.3369881296037,0.849089355047396
Endothelial,4,0.26741099856917,0.0535090051926573,0.457849099009612,0.014849981658313,0,0.0683099156282397
