donor_label,cell_type,vdac1_sum,umi_sum,n_cells,group,cpm,log2_vdac1
H19.33.004,Lamp5 Lhx6,76,2258159,62,Control,33.6557346050477,5.11502219477428
H19.33.004,Lamp5,14,563071,41,Control,24.8636495219963,4.69285395765331
H19.33.004,Pax6,46,1170500,42,Control,39.2994446817599,5.33268805373016
H19.33.004,Sncg,7,305248,24,Control,22.9321731837719,4.58087950300895
H19.33.004,Vip,132,3198311,154,Control,41.2717837633676,5.40162308665677
H19.33.004,Sst,30,1100935,67,Control,27.2495651423563,4.82015675456405
H19.33.004,Pvalb,85,2264800,81,Control,37.5309078064288,5.2679442718634
H19.33.004,L5 ET,304,11495882,178,Control,26.4442519503941,4.7784321111113
H19.33.004,Sub-CA1,3952,153358382,2264,Control,25.7697032823416,4.74252924300066
H19.33.004,DG,930,24662476,681,Control,37.7091091746019,5.27460120168648
H19.33.004,Astrocyte,159,3773587,497,Control,42.134976615088,5.43078626873204
H19.33.004,Ependymal,18,470904,63,Control,38.2243514601702,5.29367768859619
H19.33.004,OPC,51,1645471,210,Control,30.9941651964696,4.99973691844826
H19.33.004,Oligodendrocyte,14,813278,199,Control,17.2142858899417,4.1869985287144
H19.33.004,Endothelial,8,184924,38,Control,43.2610153360299,5.46796464145001
H19.33.004,VLMC & Perivascular,6,216858,42,Control,27.6678748305343,4.8413630554446
H19.33.004,Immune,44,825230,206,Control,53.318468790519,5.76337090621778
H20.33.005,Lamp5 Lhx6,19,835840,83,AD,22.7316232771822,4.56873888121124
H20.33.005,Pax6,15,765269,45,AD,19.6009507767857,4.36463901721334
H20.33.005,Vip,29,1278713,113,AD,22.6790530791507,4.56553948390623
H20.33.005,Sub-CA1,409,13798210,371,AD,29.6415259660492,4.93741624100248
H20.33.005,CA2-4,2008,90305928,2105,AD,22.2355281039801,4.53826053010978
H20.33.005,DG,155,7322692,1080,AD,21.1670789922613,4.47034677032401
H20.33.005,Astrocyte,54,1763209,586,AD,30.6259779753847,4.98303818808316
H20.33.005,Ependymal,13,399856,62,AD,32.5117042135169,5.06659315050977
H20.33.005,OPC,20,1103078,124,AD,18.1310841119123,4.25784672489985
H20.33.005,Oligodendrocyte,18,1035465,249,AD,17.3834943720937,4.20033911799574
H20.33.005,Immune,42,802453,276,AD,52.3395139653039,5.73713277386243
H20.33.008,Lamp5 Lhx6,65,3323340,85,AD,19.5586367931057,4.3616727000306
H20.33.008,Vip,49,2107586,79,AD,23.2493478320695,4.59987404251326
H20.33.008,Sst,10,461939,27,AD,21.6478799148805,4.50130409970879
H20.33.008,Pvalb,18,780564,48,AD,23.0602487432164,4.58857965256136
H20.33.008,L5 ET,417,17114663,118,AD,24.3650722190674,4.66477136298275
H20.33.008,L6 CT,62,4111536,44,AD,15.0795225920435,4.00715266780246
H20.33.008,Sub-CA1,985,48816972,1421,AD,20.1774087913523,4.40445417087663
H20.33.008,CA2-4,256,7558435,62,AD,33.8694451959963,5.12389150461849
H20.33.008,DG,480,28751000,698,AD,16.6950714757748,4.14527568414627
H20.33.008,Astrocyte,53,2168498,213,AD,24.4408802775008,4.66907668492841
H20.33.008,OPC,22,968539,61,AD,22.7146248111847,4.56770513862316
H20.33.008,Oligodendrocyte,21,1313260,166,AD,15.9907405997289,4.0866768335937
H20.33.008,VLMC & Perivascular,3,195685,26,AD,15.3307611722922,4.02952013097367
H20.33.008,Immune,54,1028346,143,AD,52.5115087723393,5.74177730160061
H20.33.011,Lamp5 Lhx6,89,5144099,104,AD,17.3013777534219,4.19388035559394
H20.33.011,Lamp5,12,1072873,65,AD,11.1849212348526,3.60702502018293
H20.33.011,Pax6,45,2244298,35,AD,20.0508132164267,4.39580406217638
H20.33.011,Sncg,7,529247,43,AD,13.2263385526985,3.8304924966275
H20.33.011,Vip,51,2983314,104,AD,17.0950828508162,4.17752580818986
H20.33.011,Sst,8,635658,27,AD,12.585383964333,3.7639834359799
H20.33.011,Pvalb,27,1548424,62,AD,17.4370844161547,4.20453862533342
H20.33.011,L5 ET,575,24398795,163,AD,23.5667376196243,4.61863438024363
H20.33.011,L6 CT,162,8025293,77,AD,20.1861788722231,4.40505150236147
H20.33.011,Sub-CA1,2704,117372948,1155,AD,23.0376764499431,4.58722554267713
H20.33.011,CA2-4,501,19300013,124,AD,25.9585317377766,4.75267001899202
H20.33.011,DG,591,28078459,1239,AD,21.0481636474423,4.46258659615529
H20.33.011,Astrocyte,63,3191549,278,AD,19.7396311320929,4.3743183299916
H20.33.011,OPC,30,1403196,74,AD,21.3797644805145,4.48412294869132
H20.33.011,Oligodendrocyte,41,3628840,452,AD,11.2983763406488,3.62039595517426
H20.33.011,Immune,41,1391642,208,AD,29.4616000379408,4.92891981826793
H20.33.013,Lamp5 Lhx6,135,6126120,201,AD,22.0367867426691,4.52586759319071
H20.33.013,Lamp5,24,1422252,84,AD,16.874646687085,4.15984282053627
H20.33.013,Pax6,69,2430129,60,AD,28.393554416247,4.87742792235678
H20.33.013,Sncg,10,390716,46,AD,25.5940376129977,4.73303092443479
H20.33.013,Vip,88,3814567,200,AD,23.0694597840332,4.58913185715501
H20.33.013,Sst,24,781771,71,AD,30.699527099368,4.98638941296543
H20.33.013,Pvalb,30,1266725,82,AD,23.6831198563224,4.62545285229113
H20.33.013,Chandelier,18,676821,21,AD,26.5949194838813,4.78633077094516
H20.33.013,Sub-CA1,4621,214269844,2674,AD,21.5662638929256,4.4960956782679
H20.33.013,CA2-4,783,31832084,315,AD,24.5978240067474,4.67794927120242
H20.33.013,DG,846,43773126,1214,AD,19.3269267541002,4.34532020422771
H20.33.013,Astrocyte,59,2851916,471,AD,20.6878463461056,4.43881489201661
H20.33.013,Ependymal,11,291664,32,AD,37.7146305337649,5.27480696900092
H20.33.013,OPC,41,1393195,152,AD,29.4287590753628,4.92736359494675
H20.33.013,Oligodendrocyte,34,2874980,585,AD,11.826169225525,3.68101844188764
H20.33.013,VLMC & Perivascular,4,183619,34,AD,21.7842380145845,4.50996421743612
H20.33.013,Immune,47,1415658,406,AD,33.2001090658902,5.09592902083386
H20.33.015,Lamp5,6,390293,39,AD,15.3730658761495,4.03325258836548
H20.33.015,Vip,55,1678118,137,AD,32.774810829751,5.07787578403138
H20.33.015,Sst,10,301772,26,AD,33.1376005726177,5.09328975420097
H20.33.015,Sub-CA1,51,2304933,71,AD,22.1264566041616,4.5314723305453
H20.33.015,CA2-4,457,10422458,116,AD,43.8476221252223,5.48695958863627
H20.33.015,DG,504,23915812,854,AD,21.0739238124133,4.46427119761539
H20.33.015,Astrocyte,100,3959334,764,AD,25.2567729825269,4.7146177114919
H20.33.015,OPC,36,994672,139,AD,36.1928354271559,5.21695283210226
H20.33.015,Oligodendrocyte,51,2384388,554,AD,21.3891363318386,4.48472697172434
H20.33.015,Endothelial,2,169393,29,AD,11.8068633296535,3.67884526745419
H20.33.015,VLMC & Perivascular,5,152915,22,AD,32.6979040643495,5.07458695662079
H20.33.015,Immune,109,2209708,537,AD,49.3277844855519,5.65328318423699
H20.33.016,Lamp5 Lhx6,92,3650085,151,AD,25.2048924888051,4.71176428490933
H20.33.016,Lamp5,22,974411,67,AD,22.5777418358372,4.55935364534056
H20.33.016,Pax6,66,2189316,48,AD,30.1464018899053,4.96099360403019
H20.33.016,Sncg,9,409314,36,AD,21.9880092056465,4.52280962690683
H20.33.016,Vip,82,2961308,144,AD,27.6904665100692,4.84249952156109
H20.33.016,Sst,26,1022042,55,AD,25.43926766219,4.72461031126553
H20.33.016,Pvalb,68,2943519,148,AD,23.1016004992664,4.59105704863246
H20.33.016,Chandelier,19,616289,30,AD,30.8296919140209,4.9923012877938
H20.33.016,L5 ET,961,29830600,344,AD,32.2152420668709,5.05377352345126
H20.33.016,L6 CT,402,15533612,195,AD,25.8793640526106,4.7484271002288
H20.33.016,Sub-CA1,2231,84927267,2284,AD,26.2695372029339,4.76921831106655
H20.33.016,CA2-4,928,28358514,307,AD,32.7238585209366,5.07569770680652
H20.33.016,DG,1103,52267309,1793,AD,21.1030569796505,4.46617401130876
H20.33.016,Astrocyte,68,3050089,611,AD,22.294431408395,4.54191321115472
H20.33.016,Ependymal,15,372695,40,AD,40.2473872737761,5.36623083275382
H20.33.016,OPC,27,884615,117,AD,30.5217524007619,4.97827583620489
H20.33.016,Oligodendrocyte,21,1576092,329,AD,13.3240952939295,3.84037211650975
H20.33.016,VLMC & Perivascular,3,151905,34,AD,19.7491853461045,4.37498278940924
H20.33.016,Immune,41,1177562,324,AD,34.8176996200625,5.16260077857365
H20.33.017,Lamp5 Lhx6,85,3511545,133,AD,24.2058694961904,4.6556878169873
H20.33.017,Lamp5,23,1341218,82,AD,17.1485918023766,4.18178570489658
H20.33.017,Pax6,41,1747518,51,AD,23.4618470310463,4.61246143587151
H20.33.017,Sncg,11,727398,54,AD,15.1223951674324,4.01099418363459
H20.33.017,Vip,95,3160748,184,AD,30.0561765759244,4.95680832079779
H20.33.017,Sst,37,1106988,78,AD,33.4240298901162,5.1053440929676
H20.33.017,Pvalb,46,2175792,106,AD,21.1417267827072,4.46869583388594
H20.33.017,L5 ET,365,15957025,259,AD,22.8739379677603,4.5773646511677
H20.33.017,L6 CT,164,6848320,115,AD,23.9474790897622,4.64082213536193
H20.33.017,Sub-CA1,2149,111727112,1957,AD,19.2343645291753,4.33873563601215
H20.33.017,CA2-4,340,11286830,141,AD,30.1236042360875,4.95993723466001
H20.33.017,DG,633,36649635,1096,AD,17.2716590492648,4.19153573013791
H20.33.017,Astrocyte,38,2015803,371,AD,18.8510484407455,4.31114330076036
H20.33.017,OPC,32,705253,119,AD,45.3737878463473,5.53523766684358
H20.33.017,Oligodendrocyte,50,3297526,727,AD,15.1628827187413,4.01461262671054
H20.33.017,Endothelial,3,66880,21,AD,44.8564593301435,5.5190530607079
H20.33.017,VLMC & Perivascular,6,118786,24,AD,50.5110029801492,5.68680872620075
H20.33.017,Immune,49,831744,249,AD,58.9123576485072,5.90478170189873
H20.33.018,Lamp5 Lhx6,67,2870015,117,AD,23.3448257239074,4.60554326778216
H20.33.018,Lamp5,13,823923,78,AD,15.7781734458196,4.0685137603617
H20.33.018,Pax6,24,1014975,34,AD,23.6459026084386,4.6232759127751
H20.33.018,Vip,112,2926332,197,AD,38.273169278127,5.29547212063151
H20.33.018,Sst,26,1169216,71,AD,22.2371229952378,4.53835955358509
H20.33.018,Pvalb,67,2057619,108,AD,32.5619077195535,5.06875281839204
H20.33.018,L5 ET,67,1913540,22,AD,35.0136396417112,5.17047150468224
H20.33.018,L6 CT,19,745698,25,AD,25.4794836515587,4.72680308483466
H20.33.018,Sub-CA1,150,2977562,43,AD,50.3767847655229,5.68304470198134
H20.33.018,CA2-4,345,7889280,88,AD,43.730226332441,5.48317815320448
H20.33.018,DG,309,14119188,710,AD,21.8851112401081,4.51633739950509
H20.33.018,Astrocyte,171,8192957,1710,AD,20.8715851920131,4.45098588160982
H20.33.018,OPC,17,700602,83,AD,24.2648465177091,4.65905951059179
H20.33.018,Oligodendrocyte,11,393585,109,AD,27.9482195713759,4.85540271444782
H20.33.018,VLMC & Perivascular,2,201061,44,AD,9.94722994514103,3.45249395558349
H20.33.018,Immune,64,1694473,451,AD,37.7698552883404,5.27686344500913
H20.33.019,Lamp5 Lhx6,123,7308030,178,AD,16.8308011871872,4.15629962358293
H20.33.019,Lamp5,19,1664620,86,AD,11.4140164121541,3.63389805325899
H20.33.019,Pax6,108,4108622,56,AD,26.2861854899283,4.77009882004511
H20.33.019,Sncg,8,467451,43,AD,17.1140932418585,4.17904068382977
H20.33.019,Vip,137,5939120,235,AD,23.0673904551516,4.58900781868958
H20.33.019,Sst,29,1485543,68,AD,19.521481370785,4.35906297247688
H20.33.019,Pvalb,27,1357319,65,AD,19.8921550497709,4.38488941061739
H20.33.019,Chandelier,14,653815,23,AD,21.412784962107,4.48625002090595
H20.33.019,L5 ET,301,14811632,141,AD,20.3218659496806,4.41426179370464
H20.33.019,L6 CT,136,7151882,71,AD,19.0159736975526,4.32307989369861
H20.33.019,Sub-CA1,1880,95812882,2081,AD,19.6215786516055,4.3660828750068
H20.33.019,CA2-4,785,27358851,267,AD,28.6927254364593,4.89203761641013
H20.33.019,DG,1362,90204386,2454,AD,15.0990440753069,4.00890312181375
H20.33.019,Astrocyte,199,6908665,730,AD,28.8044072190503,4.89745377466679
H20.33.019,Ependymal,11,291152,35,AD,37.7809529043249,5.27727634787962
H20.33.019,OPC,123,2794401,227,AD,44.0165888861334,5.4923848361862
H20.33.019,Oligodendrocyte,41,2946911,502,AD,13.9128735139948,3.89848636759678
H20.33.019,Immune,116,2374629,359,AD,48.8497361061454,5.63951396221168
H20.33.020,Lamp5 Lhx6,34,1204548,41,AD,28.2263554461923,4.86919802982919
H20.33.020,Lamp5,29,1349367,71,AD,21.4915586345301,4.4913117362784
H20.33.020,Pax6,32,1190064,30,AD,26.889310154748,4.80164034446934
H20.33.020,Vip,69,2859490,140,AD,24.1301770595456,4.65134893092998
H20.33.020,Sst,8,558916,21,AD,14.3134209791811,3.93672470812202
H20.33.020,Pvalb,32,989646,33,AD,32.3347944618581,5.05895692655391
H20.33.020,L5 ET,345,12531553,97,AD,27.5305063945387,4.83443344876129
H20.33.020,L6 CT,14,852531,23,AD,16.421690237657,4.12281269466751
H20.33.020,Sub-CA1,591,20094410,289,AD,29.4111645975174,4.92652916041397
H20.33.020,CA2-4,94,3311965,37,AD,28.3819424420246,4.87685787059239
H20.33.020,DG,434,20661601,1188,AD,21.0051486329641,4.45976921128313
H20.33.020,Astrocyte,242,13425698,1359,AD,18.0251335908196,4.24983467897815
H20.33.020,Ependymal,27,770184,68,AD,35.0565579134337,5.172189773459
H20.33.020,OPC,35,1872927,128,AD,18.6873273758134,4.29919536847491
H20.33.020,Oligodendrocyte,54,3798527,518,AD,14.2160369006196,3.92752074490224
H20.33.020,VLMC & Perivascular,11,509636,57,AD,21.5840325251748,4.49723120653622
H20.33.020,Immune,179,4209143,655,AD,42.5264715406438,5.44382116814575
H20.33.025,Lamp5 Lhx6,72,3617674,145,AD,19.9022908089563,4.38558915956721
H20.33.025,Lamp5,1,293957,41,AD,3.40185809489143,2.13811263702949
H20.33.025,Pax6,23,601063,20,AD,38.2655395524263,5.29519181636804
H20.33.025,Vip,36,1225191,75,AD,29.3831737255661,4.92520067173816
H20.33.025,Sst,16,461128,24,AD,34.6975243316389,5.15775211988927
H20.33.025,Sub-CA1,215,5437065,156,AD,39.543393356526,5.34139493785483
H20.33.025,CA2-4,2825,71692906,863,AD,39.4041775904578,5.33643256304872
H20.33.025,DG,639,33235131,2078,AD,19.2266430362498,4.33818499427793
H20.33.025,Astrocyte,58,3656879,596,AD,15.8605193116863,4.07557706751708
H20.33.025,Ependymal,8,368985,32,AD,21.6810981476212,4.50341858762665
H20.33.025,OPC,16,607041,63,AD,26.3573630117241,4.77385726980214
H20.33.025,Oligodendrocyte,31,2387080,358,AD,12.9865777435193,3.80597109981793
H20.33.025,Immune,81,3088028,598,AD,26.2303321083876,4.76714267286959
H20.33.026,Lamp5 Lhx6,87,4731961,112,AD,18.3856122229241,4.27691439288743
H20.33.026,Lamp5,27,1862252,120,AD,14.4985748437913,3.95406365488212
H20.33.026,Pax6,46,1600649,43,AD,28.7383430096167,4.89425235900915
H20.33.026,Sncg,12,536725,58,AD,22.3578182495692,4.54583361963936
H20.33.026,Vip,137,5742104,295,AD,23.8588503447517,4.63568767203891
H20.33.026,Sst,46,1969162,96,AD,23.3601907816625,4.60645352692802
H20.33.026,Pvalb,133,4535024,113,AD,29.3272979371223,4.92254505917422
H20.33.026,L5 ET,587,22332784,168,AD,26.2842286031155,4.76999535039224
H20.33.026,L6 CT,265,12564119,120,AD,21.091809143164,4.46543966364833
H20.33.026,Sub-CA1,1416,58992203,622,AD,24.0031720802154,4.64403923193833
H20.33.026,CA2-4,709,24396420,202,AD,29.0616410112631,4.90985186043545
H20.33.026,DG,870,50808123,1724,AD,17.1232462179325,4.17976948752612
H20.33.026,Astrocyte,98,4074880,623,AD,24.0497879692163,4.64672648684857
H20.33.026,Ependymal,11,209431,31,AD,52.5232654191595,5.74209423142573
H20.33.026,OPC,29,1507271,137,AD,19.2400702992362,4.33914239579821
H20.33.026,Oligodendrocyte,36,2814889,488,AD,12.7891366231493,3.78546022334947
H20.33.026,VLMC & Perivascular,7,297597,35,AD,23.5217424906837,4.61598959403633
H20.33.026,Immune,102,2917953,492,AD,34.956011971406,5.16816110939555
H20.33.027,Lamp5 Lhx6,72,3508021,108,AD,20.5243925278669,4.42790061662558
H20.33.027,Lamp5,51,2950389,158,AD,17.2858562040463,4.19265627488423
H20.33.027,Pax6,26,1501410,38,AD,17.3170553013501,4.19511568546168
H20.33.027,Sncg,29,1550799,92,AD,18.7000378514559,4.30012649655152
H20.33.027,Vip,111,4486126,161,AD,24.7429519367044,4.68610559134655
H20.33.027,Sst,21,1275407,67,AD,16.4653322429624,4.12642218226458
H20.33.027,Pvalb,71,2986249,55,AD,23.7756463041093,4.63085078731715
H20.33.027,Sub-CA1,3401,115274378,1302,AD,29.5035207216646,4.93090386328571
H20.33.027,CA2-4,245,9704674,106,AD,25.2455672390438,4.71400187338907
H20.33.027,DG,579,30320636,728,AD,19.0959055080507,4.3288296806215
H20.33.027,Astrocyte,36,3331151,518,AD,10.8070753922593,3.5615797489025
H20.33.027,Ependymal,0,234070,25,AD,0,0
H20.33.027,OPC,12,704886,69,AD,17.0240294175228,4.17184966823821
H20.33.027,Oligodendrocyte,56,4797268,826,AD,11.6733107260216,3.66372155260041
H20.33.027,VLMC & Perivascular,11,444944,69,AD,24.7222122334496,4.68494282157257
H20.33.027,Immune,50,1992550,412,AD,25.0934731876239,4.7056170826252
H20.33.029,Lamp5 Lhx6,119,6544941,314,AD,18.1819820835665,4.26167989732829
H20.33.029,Lamp5,15,946175,128,AD,15.8533040927947,4.0749595546027
H20.33.029,Pax6,35,1529896,74,AD,22.8773720566627,4.57757215722504
H20.33.029,Sncg,1,123066,30,AD,8.12572115775275,3.18993857198724
H20.33.029,Vip,89,3877451,282,AD,22.9532236513111,4.5821479234081
H20.33.029,Sst,26,1127872,70,AD,23.0522612495035,4.58810062880324
H20.33.029,Pvalb,8,443123,28,AD,18.0536780984061,4.25199761555239
H20.33.029,Chandelier,14,509024,26,AD,27.5036147607971,4.83307298492914
H20.33.029,Sub-CA1,502,21197039,1131,AD,23.6825530207309,4.62541972113544
H20.33.029,CA2-4,2005,77438565,1104,AD,25.8914921783481,4.74907790582796
H20.33.029,DG,833,38844761,1717,AD,21.4443332525588,4.48827933404506
H20.33.029,Astrocyte,87,7022708,924,AD,12.388383512457,3.74290987785408
H20.33.029,Ependymal,18,727151,60,AD,24.7541432247222,4.68673264092781
H20.33.029,OPC,28,1352797,152,AD,20.6978578456339,4.4394807123022
H20.33.029,Oligodendrocyte,28,2545836,453,AD,10.9983518184204,3.58476433516269
H20.33.029,VLMC & Perivascular,6,201130,43,AD,29.8314522945359,4.94633094309914
H20.33.029,Immune,57,2025399,488,AD,28.142603013036,4.86505783935497
H20.33.031,Lamp5 Lhx6,56,2647451,119,AD,21.1524217067662,4.46939251797306
H20.33.031,Lamp5,18,794337,64,AD,22.6604073585896,4.5644030074982
H20.33.031,Pax6,50,2113998,47,AD,23.6518672203096,4.62362502049494
H20.33.031,Vip,74,2932053,178,AD,25.2382886666783,4.71360172137499
H20.33.031,Sst,20,1234143,80,AD,16.2055774735991,4.1048044091835
H20.33.031,Pvalb,86,2761612,134,AD,31.1412320050753,5.00635332488192
H20.33.031,L5 ET,856,35293212,376,AD,24.2539556898363,4.65843747907402
