cell_type,n_AD,n_Control,log2FC,SE,p,p_adj
Sncg,15,3,,,,
Ependymal,18,3,,,,
Endothelial,3,1,,,,
VLMC & Perivascular,21,3,,,,
CA2-4,22,3,,,,
L6 CT,13,3,,,,
Chandelier,7,2,,,,
Astrocyte,28,4,-0.414369407878561,0.286077046370287,0.22876627325263,0.853838201956788
Immune,28,4,-0.313525303533868,0.242498583125732,0.262719446755935,0.853838201956788
Lamp5 Lhx6,24,4,-0.268355640542167,0.15226055412311,0.157888277737155,0.853838201956788
Pax6,20,4,-0.206970300628189,0.310842883719619,0.549986194384817,0.893517933350394
Vip,27,4,-0.162226479012213,0.211339520996148,0.487966393317068,0.893517933350394
DG,27,4,-0.143399219767028,0.269138004829345,0.630024612724845,0.893517933350394
L5 ET,16,4,-0.0298901507703828,0.0947382442411308,0.756053635911872,0.893517933350394
Pvalb,19,4,-0.0173467207693969,0.223654429593707,0.941917377913256,0.941917377913256
OPC,28,4,-0.0164860429505618,0.17833511018672,0.930059704300259,0.941917377913256
Sub-CA1,27,4,0.0600389922495301,0.0868612351511142,0.499118869443549,0.893517933350394
Oligodendrocyte,28,4,0.0618873940595175,0.142387314026621,0.683687183621811,0.893517933350394
Lamp5,25,4,0.0971150765405957,0.266239964452514,0.73070113557564,0.893517933350394
Sst,20,4,0.314422852729819,0.228519819369101,0.23052125773214,0.853838201956788
