cell_type,n_donors,rho,p,p_adj
Endothelial,4,,,
Chandelier,9,-0.331990046995912,0.382754278044024,0.841082934949925
Astrocyte,32,-0.237868041796609,0.189871423557109,0.841082934949925
Lamp5 Lhx6,28,-0.0757739350375205,0.701549845014699,0.852119916324541
Pax6,24,-0.0671825632593705,0.75511000634188,0.852119916324541
Sncg,18,-0.0293895406432978,0.907841245517886,0.907841245517886
Immune,32,-0.0223304692298857,0.90344600261796,0.907841245517886
Lamp5,29,0.0586680605735729,0.762423083027221,0.852119916324541
DG,31,0.0642687443312136,0.731234570757403,0.852119916324541
OPC,32,0.0644670937767135,0.725935911953,0.852119916324541
L5 ET,20,0.0923435159627041,0.698600162736146,0.852119916324541
Sub-CA1,31,0.103376741767202,0.579982198263676,0.852119916324541
Vip,31,0.106780091290402,0.567502549003112,0.852119916324541
Sst,24,0.18059324850249,0.398407706028912,0.841082934949925
VLMC & Perivascular,24,0.197101858532469,0.355928073455872,0.841082934949925
Ependymal,21,0.217314292606253,0.344018492511006,0.841082934949925
Oligodendrocyte,32,0.227964964138138,0.209529748429317,0.841082934949925
L6 CT,16,0.257906644164264,0.334848749587333,0.841082934949925
CA2-4,25,0.259084409378094,0.21108466408407,0.841082934949925
Pvalb,23,0.293458469083322,0.174134317719679,0.841082934949925
