cell_type,n_AD,n_Control,log2FC,SE,p,p_adj
Endothelial,6,1,,,,
VLMC & Perivascular,24,3,,,,
L5 ET,7,1,,,,
Astrocyte,31,4,-0.359192382129181,0.208724494409461,0.171054447726293,0.424370124195462
Lamp5,31,4,-0.340994990539756,0.102775438944512,0.00258842610447732,0.0517685220895465
Immune,31,4,-0.311499630207138,0.159975771557202,0.106322941900381,0.424370124195462
L4 IT,31,4,-0.283626132735361,0.164299011216257,0.150090769590323,0.424370124195462
L5 IT,31,4,-0.243288686681398,0.191525651907098,0.275728999517187,0.459548332528645
L5/6 NP,30,4,-0.237728310337021,0.102533404747323,0.0429713008044622,0.424370124195462
L6 IT,31,4,-0.229386870057499,0.152818253106544,0.190966555887958,0.424370124195462
L6b,31,4,-0.227237302502691,0.321841489737056,0.523910181586484,0.654887726983105
Pax6,25,4,-0.19638605286938,0.0999517403967602,0.0746617028230526,0.424370124195462
L6 CT,30,4,-0.194292218825128,0.267794267892296,0.513574614899845,0.654887726983105
Pvalb,31,4,-0.179297559961898,0.0933219690496483,0.0853076150423583,0.424370124195462
Sst,31,4,-0.162721335855931,0.123883622214863,0.229183841568118,0.458367683136235
OPC,31,4,-0.160115845738645,0.105461662213871,0.161362328231152,0.424370124195462
Chandelier,25,4,-0.143843839102929,0.173556970558738,0.439795959557911,0.628279942225588
Vip,31,4,-0.137944156208337,0.130331005169382,0.344912927416585,0.530635272948592
Lamp5 Lhx6,29,4,-0.109557176630076,0.0934611233629929,0.253522000062573,0.459548332528645
Sncg,25,4,-0.0480854746387625,0.0865525442697941,0.5862859508231,0.689748177438942
Oligodendrocyte,31,4,-0.0315884457873459,0.0799987097773362,0.695669613962996,0.772966237736662
L2/3 IT,31,4,0.00534671079261262,0.0706720843301797,0.940707938338825,0.942448494089797
L6 IT Car3,31,4,0.020740631451833,0.268494672595682,0.942448494089797,0.942448494089797
