cell_type,n_donors,rho,p,p_adj
Lamp5,43,-0.48245825341733,0.00105141827757935,0.0241826203843251
Lamp5 Lhx6,41,-0.331388781590378,0.0343008758446491,0.212295186466949
Pvalb,43,-0.329183772583285,0.0311250982068478,0.212295186466949
OPC,43,-0.319236987163805,0.036920901994252,0.212295186466949
Pax6,35,-0.309281563314965,0.0706220827198502,0.232043986079508
Sst,43,-0.296053928233361,0.0539039577106051,0.218092793391117
Astrocyte,43,-0.292607797851809,0.0568937721889869,0.218092793391117
Vip,43,-0.235041756250878,0.129216310442911,0.26678428832423
L5/6 NP,42,-0.22923663589504,0.144203269183774,0.26678428832423
L4 IT,43,-0.229089349228196,0.139486684715502,0.26678428832423
Immune,43,-0.228932706938126,0.139764893028902,0.26678428832423
L6 IT,43,-0.222901978770409,0.150791119487608,0.26678428832423
L6b,43,-0.195881183733237,0.208078639937813,0.341843479897836
L6 CT,42,-0.172724019730718,0.274023003606733,0.420168605530323
L5 IT,43,-0.141056382208541,0.366932026924254,0.527464788703615
Chandelier,36,-0.131842831637199,0.443382241819962,0.566543975658841
L5 ET,10,-0.12974982402692,0.720902433087236,0.789559807666973
Oligodendrocyte,43,-0.126723612667084,0.418073576537046,0.565628956491298
L6 IT Car3,43,-0.095943402668219,0.540525540803981,0.654320391499556
VLMC & Perivascular,34,-0.0809436322891149,0.649057149713,0.74641572216995
Sncg,36,-0.0278131082308512,0.872077500895837,0.911717387300193
L2/3 IT,43,-0.00548248015246966,0.972165954096589,0.972165954096589
Endothelial,11,0.542839468035478,0.0844325361936879,0.242743541556853
