cell_type,n_AD,n_Control,log2FC,SE,p,p_adj
Sst Chodl,2,0,,,,
L5 IT,18,3,,,,
L6b,17,3,,,,
Sncg,20,3,,,,
L6 CT,16,3,,,,
VLMC & Perivascular,18,2,,,,
Endothelial,2,0,,,,
L5 ET,2,1,,,,
Astrocyte,23,4,-0.580910015008507,0.391679684899365,0.229866791981383,0.356590508535465
Vip,23,4,-0.496318272597313,0.273689228077264,0.12703483247581,0.356590508535465
Immune,23,4,-0.470641858112611,0.299633832069929,0.205156624974106,0.356590508535465
Pax6,22,4,-0.391006083004159,0.341982006728142,0.324273263891757,0.421555243059284
L6 IT,19,4,-0.386808331167451,0.27881589790673,0.246870352063014,0.356590508535465
Sst,21,4,-0.353258296792967,0.160464161995049,0.0840432766740906,0.356590508535465
Pvalb,22,4,-0.33053380463374,0.183111464199546,0.142860688696787,0.356590508535465
OPC,23,4,-0.279531856605479,0.133626115099844,0.0600538874586935,0.356590508535465
Lamp5,22,4,-0.266879376132911,0.165647238928729,0.176881872864243,0.356590508535465
EC IT,23,4,-0.257120466220123,0.19157700917994,0.243401641399076,0.356590508535465
Lamp5 Lhx6,21,4,-0.0980615326114211,0.237263851545134,0.703654094840723,0.823774587566965
Oligodendrocyte,23,4,-0.087812801614104,0.267207962511973,0.760407311600276,0.823774587566965
Chandelier,19,4,-0.027722788996452,0.282858573103733,0.925807565716424,0.925807565716424
