cell_type,n_donors,rho,p,p_adj
Sst Chodl,4,,,
Endothelial,2,,,
L5 ET,4,,,
L2/3 IT,2,,,
Astrocyte,34,-0.298355456879489,0.0865459687494822,0.77891371874534
OPC,34,-0.163493158069778,0.355538345935813,0.987683977835568
Pax6,33,-0.131568076631798,0.465487740426212,0.987683977835568
Immune,34,-0.0995039698874437,0.57555216442406,0.987683977835568
Lamp5,33,-0.0947837639193968,0.599805421424088,0.987683977835568
Vip,34,-0.0577310768686584,0.745706030278803,0.987683977835568
L6b,26,-0.0437489021897596,0.831945854977404,0.987683977835568
L5 IT,28,-0.0406100239859845,0.837435267338381,0.987683977835568
Pvalb,33,-0.0362710432326933,0.841173274923328,0.987683977835568
Sst,32,-0.0179938308604735,0.922133617114104,0.987683977835568
Oligodendrocyte,34,-0.0150194671528217,0.932812645733592,0.987683977835568
Lamp5 Lhx6,32,-0.000749742952519728,0.99675067246819,0.99675067246819
L6 IT,30,0.0218562942216264,0.908731604587757,0.987683977835568
L6 CT,26,0.0331424645543376,0.872308794559399,0.987683977835568
Chandelier,30,0.0427372352404216,0.822572727060251,0.987683977835568
Sncg,29,0.0986284379513499,0.610744234531803,0.987683977835568
EC IT,34,0.117965398262787,0.506403615556249,0.987683977835568
VLMC & Perivascular,22,0.375127151525324,0.0853841166672373,0.77891371874534
