cell_type,n_AD,n_Control,log2FC,SE,p,p_adj
Sst Chodl,11,1,,,,
Endothelial,26,2,,,,
Immune,63,9,-0.250765529535811,0.142684570457446,0.110377558931779,0.502723509517588
Lamp5,62,9,-0.247662569276585,0.095488440256221,0.0168838434998505,0.371444556996712
Pax6,59,9,-0.189000323115508,0.1111498811704,0.106020046285035,0.502723509517588
Chandelier,59,9,-0.186796709165181,0.103783390625792,0.0914101456430116,0.502723509517588
Vip,62,9,-0.179972568238517,0.11139878409442,0.131240040465143,0.502723509517588
L4 IT,63,9,-0.177534841315681,0.115773903508701,0.149726244681339,0.502723509517588
L6 IT,61,9,-0.144114714170519,0.103138202834225,0.18211926119347,0.502723509517588
Oligodendrocyte,61,9,-0.133230968123372,0.0956029880910721,0.182808548915487,0.502723509517588
VLMC & Perivascular,53,6,-0.132049862115729,0.285911113222126,0.656443693961629,0.849515368656226
L5/6 NP,60,9,-0.127336283488336,0.107048152397014,0.252195026893636,0.567534055004921
L5 IT,62,9,-0.115399844196282,0.10648513715165,0.297171043858523,0.594342087717047
Pvalb,62,9,-0.114853323350974,0.0972071619877418,0.257970025002237,0.567534055004921
Lamp5 Lhx6,60,9,-0.0766192045498411,0.10322895732067,0.472345855629195,0.849515368656226
Sncg,57,9,-0.0690764930066399,0.102988363580307,0.512412013084323,0.849515368656226
L6 CT,58,9,-0.058239780727634,0.116819444497878,0.627383294643934,0.849515368656226
Sst,62,9,-0.0528209831392523,0.100238388419154,0.60661822270879,0.849515368656226
Astrocyte,63,9,-0.0393902586276829,0.13157977430281,0.771049722089352,0.914961628588391
L2/3 IT,63,9,-0.0392281679301023,0.0723318094403908,0.595454587258254,0.849515368656226
L6b,59,9,-0.0201333159521262,0.156289592255996,0.899725318146464,0.914961628588391
L6 IT Car3,61,9,0.012958812042311,0.119063542616533,0.914961628588391,0.914961628588391
L5 ET,33,8,0.0215919750340268,0.139271259905751,0.878214082245696,0.914961628588391
OPC,63,9,0.0223631314780448,0.0979922173734758,0.82190765649759,0.914961628588391
