cell_type,n_donors,rho,p,p_adj
Pvalb,83,-0.261094931853364,0.0171197163413484,0.308526767812861
L4 IT,84,-0.243348864133265,0.0257105639844051,0.308526767812861
Lamp5 Lhx6,81,-0.199040430546833,0.0748485639541613,0.362840242500121
Vip,83,-0.189039905352928,0.0869729729668762,0.362840242500121
Pax6,80,-0.18677996844401,0.0971254535566389,0.362840242500121
Chandelier,80,-0.177183888336053,0.115879375589254,0.362840242500121
Lamp5,83,-0.172236602746611,0.1194672751077,0.362840242500121
Astrocyte,84,-0.170520667899778,0.12094674750004,0.362840242500121
Sst Chodl,13,-0.166977554209118,0.585590996575834,0.770301344899639
L6 IT,82,-0.116724725753245,0.296330208700486,0.679072309348036
L5 IT,83,-0.115598358794605,0.298027302302896,0.679072309348036
L6 IT Car3,82,-0.113203153769477,0.31124147511785,0.679072309348036
Immune,84,-0.0919521088045057,0.405470080737073,0.684298846234741
Sst,83,-0.083653376825948,0.452123359470769,0.684298846234741
L6 CT,79,-0.0593805328560699,0.603180463146708,0.770301344899639
L6b,79,-0.0582966870331349,0.609821898045547,0.770301344899639
L5/6 NP,81,-0.0321514100966575,0.775690995157494,0.853050530617583
Sncg,78,-0.0310902949659673,0.78699546038864,0.853050530617583
Oligodendrocyte,82,-0.02077164599006,0.853050530617583,0.853050530617583
OPC,84,0.0247048209088637,0.82348511073196,0.853050530617583
L5 ET,46,0.0451020181154576,0.76598572701044,0.853050530617583
L2/3 IT,84,0.0823954676697947,0.456199230823161,0.684298846234741
VLMC & Perivascular,70,0.11008789260065,0.364280580253721,0.684298846234741
Endothelial,35,0.137361935219334,0.431356945886339,0.684298846234741
