cell_type,n_regions,regions,pooled_log2FC,SE,ci_lo,ci_hi,pval,I2,p_adj
Immune,4,"HIP,ITG,LEC,MTG",-0.301389677548872,0.0927133277607006,-0.483104460846703,-0.119674894251042,0.0011509304336879,0,0.0120847695537229
Lamp5,4,"HIP,ITG,LEC,MTG",-0.265988248126733,0.0626435796853935,-0.388767408172769,-0.143209088080697,2.17564714410997e-05,0.0169791243563054,0.000456885900263094
Astrocyte,4,"HIP,ITG,LEC,MTG",-0.243872207365461,0.131840954551559,-0.502275729973899,0.0145313152429767,0.064350244752003,28.6629813940984,0.122850467253824
L4 IT,2,"ITG,MTG",-0.212734932188705,0.0946383095243685,-0.398222610414221,-0.0272472539631886,0.0245842680980855,0,0.0645337037574744
Pax6,4,"HIP,ITG,LEC,MTG",-0.202266917461966,0.0707212691393506,-0.340878057916057,-0.0636557770078748,0.00423563800836763,0,0.0296494660585734
L6 IT,3,"ITG,LEC,MTG",-0.189363286990266,0.0817338591312376,-0.349558707204962,-0.0291678667755704,0.0205131073861805,0,0.0615393221585415
Vip,4,"HIP,ITG,LEC,MTG",-0.187687802875009,0.0755512627597448,-0.335765556870631,-0.0396100488793867,0.0129826664555878,0,0.0454393325945574
L5/6 NP,2,"ITG,MTG",-0.184909228266015,0.0740467066054905,-0.330038106386581,-0.03978035014545,0.0125179322770656,0,0.0454393325945574
Chandelier,3,"ITG,LEC,MTG",-0.162152624267183,0.0849599400988193,-0.328671046989549,0.0043657984551829,0.0563166255751946,0,0.118264913707909
Pvalb,4,"HIP,ITG,LEC,MTG",-0.158787997440863,0.0608053561797722,-0.277964305620346,-0.0396116892613793,0.00901684941386888,0,0.0454393325945574
L5 IT,2,"ITG,MTG",-0.145597831708396,0.0930678372126747,-0.328007440764275,0.0368117773474827,0.117717338335771,0,0.206005342087599
Lamp5 Lhx6,4,"HIP,ITG,LEC,MTG",-0.122760118985696,0.0609458738009339,-0.24221183664185,-0.00330840132954272,0.0439834773565034,0,0.102628113831841
OPC,4,"HIP,ITG,LEC,MTG",-0.104998572962905,0.0717593878276591,-0.245644388657759,0.0356472427319487,0.143411758526512,27.3991793170397,0.23166514838898
Sst,4,"HIP,ITG,LEC,MTG",-0.100795429176434,0.0987990298276112,-0.294437969346051,0.092847110993182,0.307630455162901,47.6247629099147,0.461183528578614
L6 CT,2,"ITG,MTG",-0.0799907885603365,0.107074931370957,-0.289853797694511,0.129872220573838,0.455030780750006,0,0.562096846808831
L6b,2,"ITG,MTG",-0.0596527002372977,0.140589499642309,-0.335203056140731,0.215897655666135,0.671344054063187,0,0.783234729740385
Sncg,2,"ITG,MTG",-0.0567743566388177,0.0662602931338748,-0.186642144786279,0.0730934315086435,0.391534258016506,0,0.513888713646664
Oligodendrocyte,4,"HIP,ITG,LEC,MTG",-0.0537698829067511,0.0551322424980603,-0.161827092589878,0.0542873267763756,0.329416806127581,0,0.461183528578614
L2/3 IT,2,"ITG,MTG",-0.0164234553721606,0.0505492965520747,-0.115498256058062,0.0826513453137404,0.745256922752337,0,0.823705019884162
L5 ET,2,"HIP,MTG",-0.0136039434766984,0.0783327273382236,-0.167133267870413,0.139925380917016,0.862125831912444,0,0.895925552628393
L6 IT Car3,2,"ITG,MTG",0.0142376087881874,0.108841836275589,-0.199088470323173,0.227563687899547,0.895925552628393,0,0.895925552628393
