cell_type,n_regions,regions,pooled_log2FC,SE,ci_lo,ci_hi,pval,I2,p_adj
VLMC & Perivascular,2,"MTG,V1C",-0.387031602003079,0.14586407908565,-0.672919943649054,-0.101143260357103,0.00796920884798942,7.93995034578319,0.0194802882950853
Immune,6,"HIP,ITG,LEC,MTG,STG,V1C",-0.291734972930992,0.082108554707676,-0.452664782980674,-0.13080516288131,0.000380806667081823,0,0.00209443666895003
Lamp5,6,"HIP,ITG,LEC,MTG,STG,V1C",-0.254832845919693,0.0532330904911469,-0.359167786068103,-0.150497905771284,1.69197160233513e-06,0,3.72233752513728e-05
L4 IT,4,"ITG,MTG,STG,V1C",-0.234550037681423,0.052263203909018,-0.336984035059772,-0.132116040303075,7.19415618596213e-06,0,7.91357180455834e-05
L6 IT,5,"ITG,LEC,MTG,STG,V1C",-0.230877256345595,0.0594686204654614,-0.347433610668181,-0.114320902023009,0.000103457143453578,0,0.000758685718659576
Astrocyte,6,"HIP,ITG,LEC,MTG,STG,V1C",-0.203901115932384,0.072004277115594,-0.34502690581179,-0.0627753260529782,0.00462879884881007,0,0.0127291968342277
Chandelier,5,"ITG,LEC,MTG,STG,V1C",-0.200724200269436,0.0675826625569021,-0.333183784860288,-0.0682646156785844,0.00297746788429428,0,0.0111171416056202
L5/6 NP,4,"ITG,MTG,STG,V1C",-0.195374048036864,0.0659049937986505,-0.324545462283554,-0.0662026337901732,0.0030319477106237,0,0.0111171416056202
L5 IT,4,"ITG,MTG,STG,V1C",-0.154481068464473,0.0618680531844467,-0.275740224499597,-0.0332219124293488,0.0125268713083276,0,0.024680608805627
Lamp5 Lhx6,6,"HIP,ITG,LEC,MTG,STG,V1C",-0.149001315304696,0.0525851768526722,-0.252066368056603,-0.0459362625527891,0.00460379750244556,0,0.0127291968342277
L6 CT,4,"ITG,MTG,STG,V1C",-0.147820613273124,0.070214391037042,-0.285438290902139,-0.01020293564411,0.0352673631319653,0,0.0517254659268824
Pvalb,6,"HIP,ITG,LEC,MTG,STG,V1C",-0.137225669109032,0.0524640988255838,-0.240053413288526,-0.0343979249295373,0.00890679900646913,0,0.0195949578142321
Pax6,5,"HIP,ITG,LEC,MTG,STG",-0.136190619515248,0.0746246218765251,-0.282452190753157,0.0100709517226608,0.0679996449792114,17.2886130952132,0.0934995118464157
Vip,6,"HIP,ITG,LEC,MTG,STG,V1C",-0.133368051110937,0.0539666818210621,-0.239140803845351,-0.0275952983765227,0.0134621502576147,0,0.024680608805627
OPC,6,"HIP,ITG,LEC,MTG,STG,V1C",-0.118993944518702,0.0508861775236089,-0.218729019775887,-0.0192588692615167,0.0193647692600999,10.0801875133411,0.0327711479786306
Oligodendrocyte,6,"HIP,ITG,LEC,MTG,STG,V1C",-0.0961896371093907,0.0446366861154885,-0.183675934284967,-0.00870333993381418,0.0311660795861012,0,0.0489752679210162
L6b,3,"ITG,MTG,V1C",-0.0820999395912089,0.129484888831706,-0.335885658243526,0.171685779061108,0.526047960960699,0,0.609108165322915
Sst,6,"HIP,ITG,LEC,MTG,STG,V1C",-0.0803296332161251,0.0476999167027655,-0.173819752019106,0.0131604855868559,0.0921696220504371,9.59350125093302,0.119278334418213
L2/3 IT,4,"ITG,MTG,STG,V1C",-0.0576620843095902,0.0364915259865113,-0.12918416098406,0.0138599923648795,0.114072522104927,0,0.139421971461577
L5 ET,2,"HIP,MTG",-0.0136039434766984,0.0783327273382236,-0.167133267870413,0.139925380917016,0.862125831912444,0,0.921374613876547
L6 IT Car3,4,"ITG,MTG,STG,V1C",-0.0107981756318019,0.0712230182978451,-0.150392726365816,0.128796375102212,0.879493949609431,0,0.921374613876547
Sncg,4,"ITG,MTG,STG,V1C",-0.00142270355154091,0.0556879080366071,-0.110568997677669,0.107723590574588,0.979618021818293,7.41844918870345,0.979618021818293
