measure,cell_type,n,rho,p,p_adj
cerad_num,L4 IT,103,-0.306667868462563,0.00162916338525263,0.0236228690861631
cerad_num,Chandelier,122,-0.272428190808341,0.00239956882785941,0.024234646309105
cerad_num,Pax6,137,-0.270057042556042,0.0014154160463537,0.0236228690861631
cerad_num,Sncg,128,-0.234450343860774,0.00772828481799003,0.0373533766202852
cerad_num,Pvalb,146,-0.231880353576468,0.00485912593129643,0.0299146297777375
cerad_num,L6 IT Car3,101,-0.226929350442328,0.0224844320372313,0.067453296111694
cerad_num,Lamp5,152,-0.225929180743615,0.00513040676983633,0.0299146297777375
cerad_num,Sst,146,-0.225464555350306,0.00621522180616611,0.0337952685710282
cerad_num,Astrocyte,157,-0.222204156241651,0.00515769478926508,0.0299146297777375
cerad_num,Lamp5 Lhx6,146,-0.213976276388641,0.00950404132583599,0.0390942828252278
cerad_num,OPC,157,-0.2096342286077,0.00841210954889347,0.0385186068817754
cerad_num,L5/6 NP,99,-0.190685838188332,0.0586790187347821,0.137974989998001
cerad_num,Vip,155,-0.190274136476723,0.0177196197669056,0.0570965525822513
cerad_num,L6 IT,123,-0.184333649029409,0.041249828592997,0.10874954810881
cerad_num,L6 CT,129,-0.173062320698409,0.0498436182775844,0.123896994004281
cerad_num,Oligodendrocyte,155,-0.167990112215318,0.0366714762634131,0.0997005760911544
cerad_num,L6b,118,-0.162653561238713,0.0784417164984383,0.174985367573439
cerad_num,Sst Chodl,15,-0.151947435279517,0.588788964014949,0.772342385870537
cerad_num,L5 IT,123,-0.122739439923068,0.176225956936405,0.333296918553636
cerad_num,L5 ET,62,-0.122298720917543,0.343667089294798,0.524544504713112
cerad_num,Immune,157,-0.114693364586435,0.15261823782801,0.295061926467486
cerad_num,L2/3 IT,104,-0.0581736862421623,0.557482876139933,0.746169388064218
cerad_num,DG,27,-0.00971621470185991,0.96163738234073,0.984264144278159
cerad_num,CA2-4,22,0.0109338551239793,0.961483554022859,0.984264144278159
cerad_num,Ependymal,18,0.0464587355105171,0.854754816547021,0.918069988143097
cerad_num,VLMC & Perivascular,126,0.0478353813075623,0.594792412107195,0.772342385870537
cerad_num,Sub-CA1,27,0.152293377402985,0.448250828129625,0.628997129794797
cerad_num,EC IT,26,0.206185944128405,0.312231138823496,0.511609404775723
cerad_num,Endothelial,42,0.206509587956994,0.189472228472106,0.350725188873898
cps_num,Astrocyte,193,-0.270602835740566,0.000141134300176114,0.00650696635702512
cps_num,Lamp5,188,-0.224425952459352,0.00195988766518254,0.024234646309105
cps_num,Pax6,172,-0.219571280867635,0.00380301622760015,0.0299146297777375
cps_num,L4 IT,127,-0.211762259303394,0.0168476874010954,0.0563749539959732
cps_num,Lamp5 Lhx6,182,-0.192538826390474,0.00921413736413894,0.0390942828252278
cps_num,Vip,191,-0.183506127670203,0.0110512772627482,0.0400608800774624
cps_num,Pvalb,182,-0.174304247913364,0.0186058474941076,0.0578110261424056
cps_num,Immune,193,-0.17252393652159,0.0164296908036218,0.0563749539959732
cps_num,Sst,182,-0.158903759226558,0.0321459269291837,0.0902159884786768
cps_num,L6 IT Car3,125,-0.140559207750473,0.117938682747223,0.250260131683132
cps_num,OPC,193,-0.140234703778725,0.0517545163408167,0.125073414490307
cps_num,L6 IT,155,-0.0989455387046528,0.22061335034669,0.399861697503375
cps_num,L6b,148,-0.085140412611749,0.303543101839143,0.507850958846259
cps_num,Chandelier,155,-0.0778943270947091,0.33535118537384,0.520992020134359
cps_num,Oligodendrocyte,191,-0.0727030491636872,0.317550665033208,0.511609404775723
cps_num,L6 CT,163,-0.0656527556756552,0.405044190384218,0.587314076057116
cps_num,L5/6 NP,123,-0.0639271469332953,0.482388419843592,0.666155436926865
cps_num,DG,31,-0.0520161290322581,0.781088995659497,0.918069988143097
cps_num,L5 IT,154,-0.0299036430672579,0.712758878729058,0.873380597879268
cps_num,L5 ET,80,-0.0284865221879292,0.801943959600925,0.918069988143097
cps_num,Sncg,161,-0.0275448622976917,0.728705771596894,0.880519474012914
cps_num,Sub-CA1,31,-0.0137096774193548,0.941647979643043,0.984264144278159
cps_num,Sst Chodl,17,-0.00490196078431373,0.98510295927032,0.98510295927032
cps_num,CA2-4,25,0.0423076923076923,0.84085653799131,0.918069988143097
cps_num,VLMC & Perivascular,150,0.051854908240103,0.528562629765922,0.71851482483805
cps_num,EC IT,34,0.0780748663101604,0.660738715364141,0.833105336763483
cps_num,Ependymal,21,0.0935064935064935,0.686839784862737,0.853643732615117
cps_num,Endothelial,52,0.119817247762411,0.397516448179834,0.586168321892298
cps_num,L2/3 IT,129,0.130778186983728,0.139608813903165,0.282464344408729
thal_num,Astrocyte,193,-0.269616250317501,0.00014958543349483,0.00650696635702512
thal_num,L4 IT,127,-0.264398005150609,0.00266632579122958,0.024234646309105
thal_num,Immune,193,-0.252652450348355,0.000392844412672193,0.0113924879674936
thal_num,Lamp5,188,-0.237942881498434,0.00100864589957201,0.0219380483156913
thal_num,Vip,191,-0.215252649549447,0.00278559152978219,0.024234646309105
thal_num,Pvalb,182,-0.209198842756674,0.00459361280772112,0.0299146297777375
thal_num,Pax6,172,-0.203491989593804,0.00741992843531049,0.0373533766202852
thal_num,Sst,182,-0.19015011175652,0.0101378295750525,0.0390942828252278
thal_num,Lamp5 Lhx6,182,-0.189664598229716,0.0103352701721867,0.0390942828252278
thal_num,L6 IT,155,-0.160008531870414,0.0467235073431066,0.119557209966185
thal_num,OPC,193,-0.15752668177679,0.0286774071537768,0.0831644807459529
thal_num,L6 IT Car3,125,-0.147693136961123,0.100238656668341,0.218019078253641
thal_num,Chandelier,155,-0.143886487324747,0.0740703926284795,0.169582214702045
thal_num,L5/6 NP,123,-0.130390568255093,0.150581468309339,0.295061926467486
thal_num,L6b,148,-0.12440988434969,0.131929149332962,0.273281809332564
thal_num,L5 IT,154,-0.0924064449383052,0.254356464871831,0.442580248876985
thal_num,Sncg,161,-0.0775181275513317,0.328369980544733,0.519421605588942
thal_num,Oligodendrocyte,191,-0.0660074361282413,0.364278526613536,0.546417789920303
thal_num,L6 CT,163,-0.0603545680122982,0.444078960607497,0.628997129794797
thal_num,EC IT,34,-0.0298097204155216,0.867091155806578,0.919962567746004
thal_num,L5 ET,80,-0.020876953129005,0.854162267856355,0.918069988143097
thal_num,VLMC & Perivascular,150,-0.0187919033862502,0.819453685923632,0.918069988143097
thal_num,Ependymal,21,-0.00618038000616681,0.97878840779187,0.98510295927032
thal_num,L2/3 IT,129,0.0235504554566178,0.791074946913833,0.918069988143097
thal_num,Endothelial,52,0.0307439142694833,0.828707648807879,0.918069988143097
thal_num,Sst Chodl,17,0.0493708048137526,0.850743736316787,0.918069988143097
thal_num,Sub-CA1,31,0.0936107743194771,0.616450967100496,0.788694619672693
thal_num,DG,31,0.21528813889392,0.244782221249682,0.434613331606578
thal_num,CA2-4,25,0.216671533539949,0.298192593867378,0.507850958846259
