cell_type,HIP,LEC,MTG
Astrocyte,-0.414369407878561,-0.580910015008507,-0.0393902586276829
Chandelier,,-0.027722788996452,-0.186796709165181
DG,-0.143399219767028,,
EC IT,,-0.257120466220123,
Immune,-0.313525303533868,-0.470641858112611,-0.250765529535811
L2/3 IT,,,-0.0392281679301023
L4 IT,,,-0.177534841315681
L5 ET,-0.0298901507703828,,0.0215919750340268
L5 IT,,,-0.115399844196282
L5/6 NP,,,-0.127336283488336
L6 CT,,,-0.058239780727634
L6 IT,,-0.386808331167451,-0.144114714170519
L6 IT Car3,,,0.012958812042311
L6b,,,-0.0201333159521262
Lamp5,0.0971150765405957,-0.266879376132911,-0.247662569276585
Lamp5 Lhx6,-0.268355640542167,-0.0980615326114211,-0.0766192045498411
OPC,-0.0164860429505618,-0.279531856605479,0.0223631314780448
Oligodendrocyte,0.0618873940595175,-0.087812801614104,-0.133230968123372
Pax6,-0.206970300628189,-0.391006083004159,-0.189000323115508
Pvalb,-0.0173467207693969,-0.33053380463374,-0.114853323350974
Sncg,,,-0.0690764930066399
Sst,0.314422852729819,-0.353258296792967,-0.0528209831392523
Sub-CA1,0.0600389922495301,,
VLMC & Perivascular,,,-0.132049862115729
Vip,-0.162226479012213,-0.496318272597313,-0.179972568238517
