cell_type,n_AD_female,n_CTL_female,n_AD_male,n_CTL_male,log2FC_female,log2FC_male,interaction,interaction_p,p_adj
Pax6,86,11,40,10,-0.441255580814813,0.0997891761281959,-0.541044756943009,0.0104118709952745,0.229061161896039
L6b,73,8,34,8,-0.262985179887733,0.133922242456234,-0.396907422343967,0.161797740426744,0.50431164723936
Sncg,80,9,37,10,-0.196778393137284,0.195250925205858,-0.392029318343142,0.176485155143566,0.50431164723936
L5 ET,35,7,23,7,-0.132439756218356,0.220471409241073,-0.352911165459429,0.258979974948948,0.569755944887685
L6 IT,76,9,35,8,-0.333427118611055,0.0106707573239015,-0.344097875934956,0.127859077957138,0.50431164723936
L6 IT Car3,62,7,30,6,-0.119616712053641,0.21448127468167,-0.33409798673531,0.206309310234284,0.50431164723936
L6 CT,80,9,37,10,-0.219760296961219,0.0908278850581459,-0.310588182019365,0.133959701566863,0.50431164723936
Astrocyte,97,11,48,10,-0.390858843122849,-0.117269995874108,-0.273588847248741,0.138884659258916,0.50431164723936
Sst,91,11,43,10,-0.162200006590613,0.111047281379501,-0.273247287970114,0.146677052168904,0.50431164723936
Lamp5 Lhx6,92,11,42,10,-0.202964995125378,0.00334591878390622,-0.206310913909284,0.1903277829987,0.50431164723936
L5 IT,76,8,35,8,-0.243653533839796,-0.0538883956751945,-0.189765138164601,0.40685440616794,0.644733063145448
Vip,96,11,47,10,-0.309059933127149,-0.130896001839036,-0.178163931288113,0.378593679061515,0.644733063145448
Oligodendrocyte,96,11,47,10,-0.139449952017826,0.0347762501924462,-0.174226202210273,0.378132417054553,0.644733063145448
Pvalb,92,11,42,10,-0.179752248130936,-0.0403977186888511,-0.139354529442085,0.439590724871896,0.644733063145448
Lamp5,94,11,46,10,-0.238028668802591,-0.180578130563866,-0.0574505382387249,0.799876387703258,0.857927419065788
OPC,97,11,48,10,-0.0889206507819491,-0.048650423423064,-0.0402702273588851,0.857927419065788,0.857927419065788
Chandelier,76,9,34,10,-0.140826886500808,-0.182639758588903,0.0418128720880953,0.852778002424251,0.857927419065788
L2/3 IT,62,7,32,6,0.0189268075298923,-0.0644457409050148,0.0833725484349071,0.633065307218037,0.733022987305095
L5/6 NP,60,7,30,6,-0.101983025264582,-0.226197408434669,0.124214383170087,0.615382360291373,0.733022987305095
L4 IT,62,7,32,6,-0.148574780032045,-0.278715116435203,0.130140336403158,0.592057078931402,0.733022987305095
Immune,97,11,48,10,-0.23140263392246,-0.384330174386921,0.152927540464462,0.4327550216346,0.644733063145448
VLMC & Perivascular,73,7,43,7,0.235995955842338,-0.0706397812513657,0.306635737093703,0.560470201825016,0.733022987305095
