cell_type,n_AD,n_Control,log2FC,SE,p,p_adj
Endothelial,15,2,,,,
VLMC & Perivascular,28,3,,,,
L6b,31,3,,,,
L5 ET,9,1,,,,
Immune,31,4,-0.316552718396087,0.236015372787438,0.256308503483128,0.374604735859957
Chandelier,29,4,-0.297358393035022,0.123752945795221,0.0451173886270372,0.22521259431428
L6 IT,31,4,-0.266584793426984,0.0918182322681624,0.0245500310642307,0.22521259431428
L4 IT,31,4,-0.242100340932615,0.0650556839424103,0.000824359158650182,0.0156628240143535
Lamp5,31,4,-0.225787280828312,0.109732638283802,0.0730855017007643,0.241242443134344
L5/6 NP,31,4,-0.225069912555719,0.155839456127865,0.215953018447772,0.37300975913706
Astrocyte,31,4,-0.215493183549192,0.115778305375045,0.127283751749441,0.268710142582154
Lamp5 Lhx6,30,4,-0.21296190926234,0.149898806895014,0.214494957741454,0.37300975913706
L6 CT,30,4,-0.197635178023255,0.0974783452657555,0.0888787948389688,0.241242443134344
Oligodendrocyte,31,4,-0.172898317919149,0.0793459474029973,0.0474131777503748,0.22521259431428
L5 IT,31,4,-0.149219410157555,0.0887474244701265,0.126079723122796,0.268710142582154
L2/3 IT,31,4,-0.0983466519977281,0.0537875539112995,0.0767208101579653,0.241242443134344
Vip,31,4,-0.0621903658108467,0.0826463839866675,0.463106831045929,0.58660198599151
Pvalb,31,4,-0.0335488901055614,0.113476158351336,0.77672133255648,0.868100312857243
Sst,31,4,-0.0323686228702247,0.057443403540149,0.578646911900164,0.687143207881444
OPC,31,4,-0.0200265139504658,0.176227502502642,0.915601165079852,0.915601165079852
L6 IT Car3,31,4,-0.0142255217546463,0.0974888220633987,0.886499160416921,0.915601165079852
Sncg,28,4,0.106888806946965,0.08838655212621,0.249950057708423,0.374604735859957
Pax6,28,4,0.131020882992266,0.148769309132077,0.421789405677958,0.572428479134371
