cell_type,n_donors,rho,p,p_adj
Lamp5,43,-0.177162430069805,0.255740211290013,0.939291230683379
Pvalb,43,-0.107613253278476,0.492163331747415,0.939291230683379
Oligodendrocyte,43,-0.0978231101490657,0.532583966120285,0.939291230683379
Astrocyte,43,-0.0843518732029974,0.590719912175538,0.939291230683379
Immune,43,-0.0829420925923624,0.596962606777107,0.939291230683379
Lamp5 Lhx6,42,-0.0653165103738977,0.681098836553409,0.939291230683379
Sncg,40,-0.0641801892656373,0.69399024976364,0.939291230683379
L5/6 NP,43,-0.0544331957995201,0.72883062175034,0.939291230683379
OPC,43,-0.0346179461055941,0.825573789688118,0.939291230683379
Chandelier,41,-0.0330955058135544,0.837246138437269,0.939291230683379
L4 IT,43,-0.0239662703807959,0.878754597451477,0.939291230683379
L6 IT,43,-0.0103383911446571,0.947539137197879,0.947539137197879
Sst,43,0.0200502131290319,0.898452481523233,0.939291230683379
Vip,43,0.0239662703807959,0.878754597451477,0.939291230683379
L2/3 IT,43,0.0450346583952865,0.77429953329988,0.939291230683379
Pax6,40,0.0504549078262992,0.757182302328322,0.939291230683379
L5 ET,11,0.0706322414022017,0.836506918054992,0.939291230683379
L6 CT,42,0.0710180799572418,0.654929119143815,0.939291230683379
L5 IT,43,0.109962887629534,0.482704050188749,0.939291230683379
L6b,42,0.11840442948674,0.455169826288811,0.939291230683379
VLMC & Perivascular,39,0.12934719537079,0.432572638037059,0.939291230683379
L6 IT Car3,43,0.145990614345763,0.350235334807466,0.939291230683379
Endothelial,22,0.339453314970599,0.122214243305676,0.939291230683379
