cell_type,n_AD,n_Control,log2FC,SE,p,p_adj
Endothelial,16,3,,,,
Pax6,1,0,,,,
VLMC & Perivascular,31,4,-0.470474163721045,0.153922506781796,0.0165471603189103,0.330943206378205
L6 IT,31,4,-0.36774906863528,0.263000341766608,0.240632541690247,0.635417093739419
L5/6 NP,28,4,-0.298203344541902,0.38720371031737,0.491707643772944,0.635417093739419
Pvalb,30,4,-0.2834234537197,0.256651498287642,0.341061063690325,0.635417093739419
L4 IT,31,4,-0.270409720390341,0.234573452222759,0.322050844085789,0.635417093739419
Sst,30,4,-0.250911443067805,0.18336448219627,0.246520181990167,0.635417093739419
L6 IT Car3,31,4,-0.244429199483118,0.365097421326089,0.546012199853846,0.635417093739419
L5 IT,31,4,-0.244384724940749,0.230397754076385,0.351148811351768,0.635417093739419
Lamp5 Lhx6,28,4,-0.237044598335351,0.144472477316738,0.157109076440997,0.635417093739419
Lamp5,29,4,-0.225892175833144,0.258688627758212,0.438425322951241,0.635417093739419
Oligodendrocyte,31,4,-0.222132828423724,0.266617936732489,0.46168192313179,0.635417093739419
L6 CT,30,4,-0.212757274703143,0.310461763118709,0.536695736844253,0.635417093739419
L6b,30,4,-0.207591456909428,0.332413460719877,0.571875384365477,0.635417093739419
L2/3 IT,31,4,-0.206450195674463,0.267695161108203,0.490381073084723,0.635417093739419
Astrocyte,31,4,-0.206214496543388,0.230468304955498,0.427743075331554,0.635417093739419
Sncg,22,4,-0.197292026803751,0.448785185575598,0.685443633561512,0.685443633561512
OPC,31,4,-0.186996592098343,0.0883186980184291,0.0626340670329524,0.626340670329524
Immune,31,4,-0.179996852399337,0.266886603223724,0.540442400543581,0.635417093739419
Vip,30,4,-0.174918889230581,0.214361368685078,0.467275705187264,0.635417093739419
Chandelier,27,4,-0.136767031634045,0.257283268705774,0.626715263729398,0.659700277609892
