cell_type,n_donors,rho,p,p_adj
Pax6,4,,,
VLMC & Perivascular,43,-0.247103212586311,0.110154074489105,0.877510632801728
Lamp5 Lhx6,40,-0.175238980630422,0.279447898502761,0.877510632801728
Lamp5,41,-0.170783602010706,0.285701903657523,0.877510632801728
Sst,42,-0.151594673627737,0.337885846103938,0.877510632801728
OPC,43,-0.122259307400073,0.434790437239018,0.877510632801728
L2/3 IT,43,-0.0708023151118938,0.651868649213834,0.877510632801728
L5/6 NP,40,-0.0605072266269412,0.710721979772539,0.877510632801728
Astrocyte,43,-0.0501255328225797,0.749567155086387,0.877510632801728
L6 IT Car3,43,-0.0464444390059215,0.767427293853463,0.877510632801728
L6 IT,43,-0.0399437839679932,0.79925448177724,0.877510632801728
Pvalb,42,-0.035467116672861,0.823545938796075,0.877510632801728
L4 IT,43,-0.0309368522889359,0.843877892971932,0.877510632801728
Chandelier,39,-0.0255057104064267,0.877510632801728,0.877510632801728
Oligodendrocyte,43,-0.0251410875563251,0.872858749870501,0.877510632801728
L5 IT,43,0.0430766297694044,0.783872525033428,0.877510632801728
Sncg,32,0.0722402511583303,0.694387433027963,0.877510632801728
Vip,42,0.0940758981251774,0.553449639147231,0.877510632801728
L6 CT,42,0.14698310999415,0.35295595759038,0.877510632801728
L6b,42,0.179431748652299,0.255532064082763,0.877510632801728
Immune,43,0.195254614572955,0.209565925006216,0.877510632801728
Endothelial,23,0.275071831747699,0.20397518694682,0.877510632801728
