"dataset_id","sex","log2FC","SE","n_samples"
"GSE5281","female",-0.0611852441682829,0.258200190872549,58
"GSE5281","male",-0.27946897857188,0.200018074462383,103
"GSE109887","female",-0.831112940795189,0.212371190941633,40
"GSE109887","male",-0.456714389139957,0.177496607971385,38
"GSE132903","female",-0.772204803125,0.140005275112698,96
"GSE132903","male",-0.527011886021633,0.115284129719255,99
"GSE29378","female",0.0440627620204596,0.159963023229872,25
"GSE29378","male",-0.0633954820155294,0.172396448011014,38
"GSE36980","female",-0.338745533333333,0.109310595424012,43
"GSE36980","male",-0.110738818181818,0.106529129023969,37
"GSE48350","female",-0.440107082499544,0.123836243824562,129
"GSE48350","male",-0.13183049647508,0.13492204448344,124
"GSE15222","female",NA,NA,88
"GSE15222","male",NA,NA,88
"GSE125583","female",-0.575373686569972,0.100597356663952,130
"GSE125583","male",-0.433764139768093,0.0946057126052146,158
