"gene","module"
"1","green"
"10","grey"
"100","blue"
"1000","blue"
"10000","blue"
"100008589","grey"
"100009613","grey"
"100009676","turquoise"
"10001","blue"
"10002","grey"
"10003","grey"
"100033413","grey"
"100033414","grey"
"100033415","grey"
"100033416","turquoise"
"100033417","grey"
"100033418","grey"
"100033419","grey"
"100033420","grey"
"100033421","grey"
"100033422","grey"
"100033423","grey"
"100033424","grey"
"100033425","grey"
"100033426","grey"
"100033427","grey"
"100033428","grey"
"100033429","grey"
"100033430","grey"
"100033431","grey"
"100033432","grey"
"100033433","grey"
"100033434","grey"
"100033435","grey"
"100033436","grey"
"100033437","grey"
"100033438","grey"
"100033439","grey"
"100033440","grey"
"100033441","grey"
"100033442","grey"
"100033443","grey"
"100033444","grey"
"100033445","grey"
"100033446","grey"
"100033447","grey"
"100033448","grey"
"100033449","grey"
"100033450","grey"
"100033451","grey"
"100033453","grey"
"100033454","grey"
"100033455","grey"
"100033456","grey"
"100033458","grey"
"100033460","grey"
"100033603","grey"
"100033799","grey"
"100033800","grey"
"100033801","grey"
"100033802","grey"
"100033803","grey"
"100033804","grey"
"100033805","grey"
"100033806","grey"
"100033807","grey"
"100033808","grey"
"100033809","grey"
"100033810","grey"
"100033811","grey"
"100033812","grey"
"100033813","grey"
"100033814","grey"
"100033815","grey"
"100033816","grey"
"100033817","grey"
"100033818","grey"
"100033820","grey"
"100033821","grey"
"100033822","grey"
"100034743","grey"
"100036563","grey"
"100036564","grey"
"100036565","grey"
"100036566","blue"
"100036567","grey"
"100037417","turquoise"
"100038246","grey"
"10004","red"
"100048912","grey"
"100049076","grey"
"100049587","red"
"100049716","grey"
"10005","brown"
"10006","blue"
"10007","brown"
"100073347","yellow"
"10008","red"
"10009","turquoise"
"100093630","turquoise"
"100093631","turquoise"
"100093698","grey"
"1001","grey"
"10010","turquoise"
"100101117","grey"
"100101148","grey"
"100101266","grey"
"100101267","grey"
"100101467","black"
"100101490","blue"
"100101938","grey"
"10011","turquoise"
"100113378","grey"
"100113379","grey"
"100113380","grey"
"100113381","grey"
"100113382","grey"
"100113384","grey"
"100113386","brown"
"100113389","grey"
"100113391","grey"
"100113392","grey"
"100113393","grey"
"100113402","grey"
"100113403","yellow"
"100113404","grey"
"100113407","blue"
"100124412","grey"
"100124516","grey"
"100124533","grey"
"100124534","grey"
"100124535","grey"
"100124536","grey"
"100124537","grey"
"100124538","grey"
"100124539","grey"
"100124540","grey"
"100124700","grey"
"100125288","green"
"100125556","grey"
"100125918","grey"
"100126270","turquoise"
"100126296","grey"
"100126297","grey"
"100126299","grey"
"100126302","grey"
"100126303","grey"
"100126304","grey"
"100126306","grey"
"100126307","grey"
"100126308","grey"
"100126309","grey"
"100126310","grey"
"100126311","grey"
"100126313","grey"
"100126314","grey"
"100126315","grey"
"100126316","grey"
"100126317","grey"
"100126318","grey"
"100126320","grey"
"100126321","grey"
"100126325","blue"
"100126326","grey"
"100126327","grey"
"100126328","grey"
"100126329","grey"
"100126330","grey"
"100126331","grey"
"100126332","grey"
"100126333","grey"
"100126334","grey"
"100126335","grey"
"100126336","grey"
"100126337","grey"
"100126338","turquoise"
"100126339","grey"
"100126342","grey"
"100126343","grey"
"100126347","grey"
"100126348","grey"
"100126350","grey"
"100126351","grey"
"100126352","grey"
"100126355","grey"
"100126356","grey"
"100126447","grey"
"100126582","grey"
"100126584","grey"
"100126693","grey"
"100126780","grey"
"100126781","grey"
"100126784","yellow"
"100126791","grey"
"100126793","brown"
"100127206","grey"
"100127888","red"
"100127889","grey"
"100127967","grey"
"100127974","brown"
"100127983","blue"
"100128002","grey"
"100128006","grey"
"100128023","grey"
"100128025","grey"
"100128054","turquoise"
"100128055","turquoise"
"100128071","blue"
"100128076","grey"
"100128079","pink"
"100128081","blue"
"100128098","grey"
"100128108","grey"
"100128124","grey"
"100128126","grey"
"100128127","blue"
"100128139","grey"
"100128164","grey"
"100128176","turquoise"
"100128191","turquoise"
"100128233","grey"
"100128239","brown"
"100128252","grey"
"100128264","yellow"
"100128276","grey"
"100128285","yellow"
"100128288","yellow"
"100128292","turquoise"
"100128317","grey"
"100128325","grey"
"100128327","grey"
"100128338","grey"
"100128340","brown"
"100128361","grey"
"100128364","grey"
"100128374","grey"
"100128378","grey"
"100128385","grey"
"100128398","grey"
"100128420","grey"
"100128482","grey"
"100128494","turquoise"
"100128496","grey"
"100128505","grey"
"100128511","grey"
"100128531","yellow"
"100128553","grey"
"100128554","yellow"
"100128560","grey"
"100128568","grey"
"100128569","blue"
"100128573","grey"
"100128575","grey"
"100128590","grey"
"100128593","grey"
"100128594","grey"
"100128627","grey"
"100128640","grey"
"100128653","yellow"
"100128675","pink"
"100128682","grey"
"100128714","brown"
"100128731","green"
"100128750","grey"
"100128770","grey"
"100128782","grey"
"100128787","grey"
"100128788","grey"
"100128811","yellow"
"100128818","grey"
"100128822","grey"
"100128830","grey"
"100128881","grey"
"100128882","blue"
"100128885","grey"
"100128890","turquoise"
"100128893","grey"
"100128905","grey"
"100128908","grey"
"100128927","red"
"100128946","grey"
"100128966","grey"
"100128977","turquoise"
"100128988","grey"
