"","AD","Sex","Age","Braak"
"MEblue",-0.350458656023932,-0.105633839961944,0.0726594719126368,-0.307229209011342
"MEyellow",-0.379712504549399,-0.168837991443636,0.145233452523976,-0.394611167727578
"MEbrown",-0.193711422115757,-0.128204255317939,0.129215194535957,-0.252346527472348
"MEgreenyellow",-0.335800999980674,-0.115899085681254,0.258950496877978,-0.258587250165473
"MEtan",0.366045899690813,0.0803423542225958,-0.215992130512868,0.23512929246728
"MEmagenta",0.207864280904565,0.00782420452158099,0.0904298341092369,0.0698642642273731
"MEgreen",0.144296016583823,0.0325832137508429,-0.00471109338814245,0.0991474956933234
"MElightcyan",0.26722502810646,0.0437126738654317,-0.175402078193746,0.252405162174928
"MEmidnightblue",0.212599828724515,0.0296669516961913,-0.0128896645398773,0.122159175903338
"MEcyan",0.0273426234524384,-0.0545927942407075,0.0254654433622016,-0.0695428290468522
"MEpurple",-0.0101768733024845,-0.0300282553050016,0.103677274476686,-0.109566533296006
"MEturquoise",0.0734186560815602,0.0588355897661041,-0.0966920753089868,0.117190895522476
"MEred",0.30892755348692,0.0899785447647949,-0.10648823378329,0.293655952096827
"MEpink",0.185186553085775,0.113722392057276,-0.15500129955141,0.300908113631387
"MEblack",0.169323878672795,0.126637658956116,-0.189159012705878,0.293443194276117
"MEsalmon",0.280124531870447,0.10005553345091,-0.1778888265503,0.316547577927613
"MEgrey",-0.12581365531178,0.00122253818347563,0.0282530698952178,-0.0129800365011989
