"","AD","Sex","Age","Braak"
"MEblue",9.55348570083523e-10,0.0734731467426619,0.218946212787294,1.03535942996642e-07
"MEyellow",2.60592228766967e-11,0.00405987532126337,0.0136224250174865,3.60662903522815e-12
"MEbrown",0.000951630860697879,0.0296136106662663,0.0283421659075866,1.46301264231317e-05
"MEgreenyellow",5.07997192834614e-09,0.0494205596741395,8.52383272970721e-06,8.78427322692118e-06
"MEtan",1.46686702152399e-10,0.17391717311411,0.000221401151659554,5.58815177932674e-05
"MEmagenta",0.00038362857235388,0.894821580158512,0.125742297976929,0.237235736039416
"MEgreen",0.0142469789597139,0.581841445200399,0.93655328936237,0.0930718513670715
"MElightcyan",4.24228141994864e-06,0.459933849651585,0.00281806525099586,1.45610618155113e-05
"MEmidnightblue",0.000279194587174065,0.61609970824088,0.827582922767112,0.0382785218904308
"MEcyan",0.644018138036093,0.355939534494518,0.666938702544956,0.23940583130992
"MEpurple",0.863468487387899,0.611807800386653,0.0789951604906136,0.0633234655430605
"MEturquoise",0.214157473608645,0.31973970286331,0.10150059065684,0.0469226223104207
"MEred",8.73061889629891e-08,0.127649306221052,0.0711623682060068,3.89246125532094e-07
"MEpink",0.00159730979961126,0.0538802304250347,0.00841464569522341,1.93460878534726e-07
"MEblack",0.00395332446824295,0.0316801924494338,0.00125822617076238,3.9719732549963e-07
"MEsalmon",1.36364044271906e-06,0.0901001356313873,0.00244596780667282,4.00890325989371e-08
"MEgrey",0.0328157087047559,0.983519318742511,0.633019913496517,0.826393165801169
